ArmModuleId: 	0 	Time: 	2731085 	P0: 	180 	P1: 	180 	I0: 	0.5 	I1: 	0.6 	D0: 	16 	D1: 	16 	time_before_control_loop: 	2978823547 	time_after_control_loop: 	2978913059 	T_diff: 	89512 	AngleAxisMust1: 	118.44 	AngleAxisMust0: 	179.73 	AngleWheelMust1: 	118.311 	AngleWheelMust0: 	118.569 	AngleAxisIs1: 	118.44 	AngleAxisIs0: 	179.55 	AngleWheelIs1: 	118.655 	AngleWheelIs0: 	118.225 	PositionError1: 	-0.0792999 	PositionError0: 	0.0927887 	CurrentMust0: 	80 	CurrentIs0: 	87 	CurrentMust1: 	79 	CurrentIs1: 	71 	
ArmModuleId: 	1 	Time: 	2854235 	P0: 	100 	P1: 	100 	I0: 	0.2 	I1: 	0.2 	D0: 	9 	D1: 	9 	time_before_control_loop: 	2978946718 	time_after_control_loop: 	2979014122 	T_diff: 	67404 	AngleAxisMust1: 	202.05 	AngleAxisMust0: 	225.9 	AngleWheelMust1: 	223.983 	AngleWheelMust0: 	180.117 	AngleAxisIs1: 	202.05 	AngleAxisIs0: 	225.72 	AngleWheelIs1: 	180.204 	AngleWheelIs0: 	223.896 	PositionError1: 	-0.0860291 	PositionError0: 	0.0813904 	CurrentMust0: 	31 	CurrentIs0: 	43 	CurrentMust1: 	33 	CurrentIs1: 	31 	
ArmModuleId: 	0 	Time: 	2974658 	P0: 	180 	P1: 	180 	I0: 	0.5 	I1: 	0.6 	D0: 	16 	D1: 	16 	time_before_control_loop: 	2979067104 	time_after_control_loop: 	2979107575 	T_diff: 	40471 	AngleAxisMust1: 	120 	AngleAxisMust0: 	179.737 	AngleWheelMust1: 	119.874 	AngleWheelMust0: 	120.126 	AngleAxisIs1: 	118.44 	AngleAxisIs0: 	180.18 	AngleWheelIs1: 	118.354 	AngleWheelIs0: 	118.526 	PositionError1: 	1.76991 	PositionError0: 	1.34644 	CurrentMust0: 	393 	CurrentIs0: 	389 	CurrentMust1: 	-373 	CurrentIs1: 	-338 	
ArmModuleId: 	1 	Time: 	3040301 	P0: 	100 	P1: 	100 	I0: 	0.2 	I1: 	0.2 	D0: 	9 	D1: 	9 	time_before_control_loop: 	2979132764 	time_after_control_loop: 	2979158591 	T_diff: 	25827 	AngleAxisMust1: 	201.491 	AngleAxisMust0: 	224.737 	AngleWheelMust1: 	222.868 	AngleWheelMust0: 	180.115 	AngleAxisIs1: 	201.33 	AngleAxisIs0: 	225 	AngleWheelIs1: 	179.828 	AngleWheelIs0: 	222.832 	PositionError1: 	0.286972 	PositionError0: 	0.0372009 	CurrentMust0: 	29 	CurrentIs0: 	36 	CurrentMust1: 	-7 	CurrentIs1: 	-9 	
ArmModuleId: 	0 	Time: 	3122370 	P0: 	180 	P1: 	180 	I0: 	0.5 	I1: 	0.6 	D0: 	16 	D1: 	16 	time_before_control_loop: 	2979214816 	time_after_control_loop: 	2979242612 	T_diff: 	27796 	AngleAxisMust1: 	120.226 	AngleAxisMust0: 	179.738 	AngleWheelMust1: 	120.1 	AngleWheelMust0: 	120.351 	AngleAxisIs1: 	118.53 	AngleAxisIs0: 	180.27 	AngleWheelIs1: 	118.401 	AngleWheelIs0: 	118.659 	PositionError1: 	1.94941 	PositionError0: 	1.44083 	CurrentMust0: 	513 	CurrentIs0: 	485 	CurrentMust1: 	-570 	CurrentIs1: 	-562 	
ArmModuleId: 	1 	Time: 	3179871 	P0: 	100 	P1: 	100 	I0: 	0.2 	I1: 	0.2 	D0: 	9 	D1: 	9 	time_before_control_loop: 	2979272333 	time_after_control_loop: 	2979304603 	T_diff: 	32270 	AngleAxisMust1: 	201.41 	AngleAxisMust0: 	224.569 	AngleWheelMust1: 	222.707 	AngleWheelMust0: 	180.114 	AngleAxisIs1: 	201.33 	AngleAxisIs0: 	225 	AngleWheelIs1: 	179.828 	AngleWheelIs0: 	222.832 	PositionError1: 	0.28653 	PositionError0: 	-0.12532 	CurrentMust0: 	11 	CurrentIs0: 	43 	CurrentMust1: 	-15 	CurrentIs1: 	-77 	
ArmModuleId: 	0 	Time: 	3269076 	P0: 	180 	P1: 	180 	I0: 	0.5 	I1: 	0.6 	D0: 	16 	D1: 	16 	time_before_control_loop: 	2979361521 	time_after_control_loop: 	2979391193 	T_diff: 	29672 	AngleAxisMust1: 	120.463 	AngleAxisMust0: 	179.739 	AngleWheelMust1: 	120.338 	AngleWheelMust0: 	120.587 	AngleAxisIs1: 	118.44 	AngleAxisIs0: 	180.27 	AngleWheelIs1: 	118.311 	AngleWheelIs0: 	118.569 	PositionError1: 	2.27599 	PositionError0: 	1.76841 	CurrentMust0: 	689 	CurrentIs0: 	677 	CurrentMust1: 	-813 	CurrentIs1: 	-791 	
ArmModuleId: 	1 	Time: 	3333105 	P0: 	100 	P1: 	100 	I0: 	0.2 	I1: 	0.2 	D0: 	9 	D1: 	9 	time_before_control_loop: 	2979425587 	time_after_control_loop: 	2979454151 	T_diff: 	28564 	AngleAxisMust1: 	201.326 	AngleAxisMust0: 	224.392 	AngleWheelMust1: 	222.537 	AngleWheelMust0: 	180.114 	AngleAxisIs1: 	201.33 	AngleAxisIs0: 	225 	AngleWheelIs1: 	179.828 	AngleWheelIs0: 	222.832 	PositionError1: 	0.286087 	PositionError0: 	-0.294754 	CurrentMust0: 	-11 	CurrentIs0: 	-46 	CurrentMust1: 	-24 	CurrentIs1: 	-69 	
ArmModuleId: 	0 	Time: 	3417985 	P0: 	180 	P1: 	180 	I0: 	0.5 	I1: 	0.6 	D0: 	16 	D1: 	16 	time_before_control_loop: 	2979510428 	time_after_control_loop: 	2979538795 	T_diff: 	28367 	AngleAxisMust1: 	120.723 	AngleAxisMust0: 	179.74 	AngleWheelMust1: 	120.599 	AngleWheelMust0: 	120.847 	AngleAxisIs1: 	118.44 	AngleAxisIs0: 	180.36 	AngleWheelIs1: 	118.268 	AngleWheelIs0: 	118.612 	PositionError1: 	2.57852 	PositionError0: 	1.98601 	CurrentMust0: 	857 	CurrentIs0: 	861 	CurrentMust1: 	-1064 	CurrentIs1: 	-1057 	
ArmModuleId: 	1 	Time: 	3471929 	P0: 	100 	P1: 	100 	I0: 	0.2 	I1: 	0.2 	D0: 	9 	D1: 	9 	time_before_control_loop: 	2979564387 	time_after_control_loop: 	2979600935 	T_diff: 	36548 	AngleAxisMust1: 	201.232 	AngleAxisMust0: 	224.198 	AngleWheelMust1: 	222.352 	AngleWheelMust0: 	180.113 	AngleAxisIs1: 	201.24 	AngleAxisIs0: 	225 	AngleWheelIs1: 	179.738 	AngleWheelIs0: 	222.742 	PositionError1: 	0.37558 	PositionError0: 	-0.390533 	CurrentMust0: 	-30 	CurrentIs0: 	-14 	CurrentMust1: 	-42 	CurrentIs1: 	-9 	
ArmModuleId: 	0 	Time: 	3561459 	P0: 	180 	P1: 	180 	I0: 	0.5 	I1: 	0.6 	D0: 	16 	D1: 	16 	time_before_control_loop: 	2979653903 	time_after_control_loop: 	2979680352 	T_diff: 	26449 	AngleAxisMust1: 	121 	AngleAxisMust0: 	179.741 	AngleWheelMust1: 	120.877 	AngleWheelMust0: 	121.124 	AngleAxisIs1: 	118.44 	AngleAxisIs0: 	180.36 	AngleWheelIs1: 	118.268 	AngleWheelIs0: 	118.612 	PositionError1: 	2.85548 	PositionError0: 	2.26414 	CurrentMust0: 	907 	CurrentIs0: 	906 	CurrentMust1: 	-1114 	CurrentIs1: 	-1123 	
