ArmModuleId: 	0 	Time: 	2569892 	P0: 	120 	P1: 	130 	I0: 	0 	I1: 	0 	D0: 	10 	D1: 	10 	time_before_control_loop: 	4492518 	time_after_control_loop: 	4564347 	T_diff: 	71829 	AngleAxisMust1: 	224.73 	AngleAxisMust0: 	233.46 	AngleWheelMust1: 	250.275 	AngleWheelMust0: 	199.185 	AngleAxisIs1: 	224.73 	AngleAxisIs0: 	233.37 	AngleWheelIs1: 	199.228 	AngleWheelIs0: 	250.232 	PositionError1: 	-0.0452271 	PositionError0: 	0.03479 	CurrentMust0: 	4 	CurrentIs0: 	17 	CurrentMust1: 	5 	CurrentIs1: 	-10 	
ArmModuleId: 	1 	Time: 	2675294 	P0: 	70 	P1: 	70 	I0: 	0 	I1: 	0 	D0: 	10 	D1: 	10 	time_before_control_loop: 	4597936 	time_after_control_loop: 	4665316 	T_diff: 	67380 	AngleAxisMust1: 	230.04 	AngleAxisMust0: 	259.29 	AngleWheelMust1: 	267.927 	AngleWheelMust0: 	192.153 	AngleAxisIs1: 	230.13 	AngleAxisIs0: 	259.11 	AngleWheelIs1: 	192.329 	AngleWheelIs0: 	267.931 	PositionError1: 	-0.177383 	PositionError0: 	-0.013855 	CurrentMust0: 	0 	CurrentIs0: 	-48 	CurrentMust1: 	12 	CurrentIs1: 	8 	
ArmModuleId: 	0 	Time: 	2795501 	P0: 	120 	P1: 	130 	I0: 	0 	I1: 	0 	D0: 	10 	D1: 	10 	time_before_control_loop: 	4718132 	time_after_control_loop: 	4745359 	T_diff: 	27227 	AngleAxisMust1: 	223.776 	AngleAxisMust0: 	232.32 	AngleWheelMust1: 	248.776 	AngleWheelMust0: 	198.776 	AngleAxisIs1: 	224.64 	AngleAxisIs0: 	234.18 	AngleWheelIs1: 	198.751 	AngleWheelIs0: 	250.529 	PositionError1: 	0.0253296 	PositionError0: 	-1.7511 	CurrentMust0: 	-210 	CurrentIs0: 	-224 	CurrentMust1: 	-3 	CurrentIs1: 	3 	
ArmModuleId: 	1 	Time: 	2850979 	P0: 	70 	P1: 	70 	I0: 	0 	I1: 	0 	D0: 	10 	D1: 	10 	time_before_control_loop: 	4773625 	time_after_control_loop: 	4801028 	T_diff: 	27403 	AngleAxisMust1: 	228.973 	AngleAxisMust0: 	257.599 	AngleWheelMust1: 	266.052 	AngleWheelMust0: 	191.893 	AngleAxisIs1: 	229.05 	AngleAxisIs0: 	258.12 	AngleWheelIs1: 	191.722 	AngleWheelIs0: 	266.378 	PositionError1: 	0.17215 	PositionError0: 	-0.323364 	CurrentMust0: 	-22 	CurrentIs0: 	-19 	CurrentMust1: 	-12 	CurrentIs1: 	1 	
ArmModuleId: 	0 	Time: 	2932354 	P0: 	120 	P1: 	130 	I0: 	0 	I1: 	0 	D0: 	10 	D1: 	10 	time_before_control_loop: 	4855063 	time_after_control_loop: 	4883312 	T_diff: 	28249 	AngleAxisMust1: 	223.64 	AngleAxisMust0: 	232.158 	AngleWheelMust1: 	248.563 	AngleWheelMust0: 	198.718 	AngleAxisIs1: 	224.64 	AngleAxisIs0: 	234.18 	AngleWheelIs1: 	198.751 	AngleWheelIs0: 	250.529 	PositionError1: 	-0.0332642 	PositionError0: 	-1.96571 	CurrentMust0: 	-235 	CurrentIs0: 	-223 	CurrentMust1: 	4 	CurrentIs1: 	-4 	
ArmModuleId: 	1 	Time: 	2987011 	P0: 	70 	P1: 	70 	I0: 	0 	I1: 	0 	D0: 	10 	D1: 	10 	time_before_control_loop: 	4909646 	time_after_control_loop: 	4941656 	T_diff: 	32010 	AngleAxisMust1: 	228.821 	AngleAxisMust0: 	257.358 	AngleWheelMust1: 	265.785 	AngleWheelMust0: 	191.857 	AngleAxisIs1: 	228.96 	AngleAxisIs0: 	257.94 	AngleWheelIs1: 	191.718 	AngleWheelIs0: 	266.202 	PositionError1: 	0.138901 	PositionError0: 	-0.416595 	CurrentMust0: 	-29 	CurrentIs0: 	-26 	CurrentMust1: 	-9 	CurrentIs1: 	-22 	
ArmModuleId: 	0 	Time: 	3075164 	P0: 	120 	P1: 	130 	I0: 	0 	I1: 	0 	D0: 	10 	D1: 	10 	time_before_control_loop: 	4997781 	time_after_control_loop: 	5024674 	T_diff: 	26893 	AngleAxisMust1: 	223.49 	AngleAxisMust0: 	231.978 	AngleWheelMust1: 	248.327 	AngleWheelMust0: 	198.653 	AngleAxisIs1: 	224.64 	AngleAxisIs0: 	234.18 	AngleWheelIs1: 	198.751 	AngleWheelIs0: 	250.529 	PositionError1: 	-0.0976868 	PositionError0: 	-2.20175 	CurrentMust0: 	-264 	CurrentIs0: 	-275 	CurrentMust1: 	12 	CurrentIs1: 	3 	
ArmModuleId: 	1 	Time: 	3127976 	P0: 	70 	P1: 	70 	I0: 	0 	I1: 	0 	D0: 	10 	D1: 	10 	time_before_control_loop: 	5050620 	time_after_control_loop: 	5077745 	T_diff: 	27125 	AngleAxisMust1: 	228.653 	AngleAxisMust0: 	257.092 	AngleWheelMust1: 	265.49 	AngleWheelMust0: 	191.816 	AngleAxisIs1: 	228.96 	AngleAxisIs0: 	257.94 	AngleWheelIs1: 	191.718 	AngleWheelIs0: 	266.202 	PositionError1: 	0.0980988 	PositionError0: 	-0.711884 	CurrentMust0: 	-49 	CurrentIs0: 	-63 	CurrentMust1: 	-6 	CurrentIs1: 	-7 	
ArmModuleId: 	0 	Time: 	3215028 	P0: 	120 	P1: 	130 	I0: 	0 	I1: 	0 	D0: 	10 	D1: 	10 	time_before_control_loop: 	5137648 	time_after_control_loop: 	5164884 	T_diff: 	27236 	AngleAxisMust1: 	223.324 	AngleAxisMust0: 	231.779 	AngleWheelMust1: 	248.066 	AngleWheelMust0: 	198.582 	AngleAxisIs1: 	224.73 	AngleAxisIs0: 	234.18 	AngleWheelIs1: 	198.841 	AngleWheelIs0: 	250.619 	PositionError1: 	-0.258957 	PositionError0: 	-2.55273 	CurrentMust0: 	-306 	CurrentIs0: 	-305 	CurrentMust1: 	33 	CurrentIs1: 	32 	
ArmModuleId: 	1 	Time: 	3268607 	P0: 	70 	P1: 	70 	I0: 	0 	I1: 	0 	D0: 	10 	D1: 	10 	time_before_control_loop: 	5191320 	time_after_control_loop: 	5222698 	T_diff: 	31378 	AngleAxisMust1: 	228.467 	AngleAxisMust0: 	256.797 	AngleWheelMust1: 	265.163 	AngleWheelMust0: 	191.771 	AngleAxisIs1: 	228.87 	AngleAxisIs0: 	257.85 	AngleWheelIs1: 	191.671 	AngleWheelIs0: 	266.069 	PositionError1: 	0.0999603 	PositionError0: 	-0.905426 	CurrentMust0: 	-63 	CurrentIs0: 	-31 	CurrentMust1: 	-6 	CurrentIs1: 	-3 	
ArmModuleId: 	0 	Time: 	3353683 	P0: 	120 	P1: 	130 	I0: 	0 	I1: 	0 	D0: 	10 	D1: 	10 	time_before_control_loop: 	5276301 	time_after_control_loop: 	5303289 	T_diff: 	26988 	AngleAxisMust1: 	223.152 	AngleAxisMust0: 	231.574 	AngleWheelMust1: 	247.795 	AngleWheelMust0: 	198.508 	AngleAxisIs1: 	224.64 	AngleAxisIs0: 	234.09 	AngleWheelIs1: 	198.794 	AngleWheelIs0: 	250.486 	PositionError1: 	-0.285797 	PositionError0: 	-2.69025 	CurrentMust0: 	-322 	CurrentIs0: 	-342 	CurrentMust1: 	37 	CurrentIs1: 	25 	
