ArmModuleId: 	0 	Time: 	2814310 	P0: 	200 	P1: 	200 	I0: 	0.7 	I1: 	0.7 	D0: 	18 	D1: 	18 	time_before_control_loop: 	3450469206 	time_after_control_loop: 	3450560218 	T_diff: 	91012 	AngleAxisMust1: 	218.7 	AngleAxisMust0: 	180.18 	AngleWheelMust1: 	218.786 	AngleWheelMust0: 	218.614 	AngleAxisIs1: 	218.61 	AngleAxisIs0: 	180.18 	AngleWheelIs1: 	218.524 	AngleWheelIs0: 	218.696 	PositionError1: 	0.0858917 	PositionError0: 	0.0858612 	CurrentMust0: 	101 	CurrentIs0: 	96 	CurrentMust1: 	-102 	CurrentIs1: 	-99 	
ArmModuleId: 	1 	Time: 	2935331 	P0: 	120 	P1: 	120 	I0: 	0.4 	I1: 	0.4 	D0: 	11 	D1: 	11 	time_before_control_loop: 	3450590248 	time_after_control_loop: 	3450669436 	T_diff: 	79188 	AngleAxisMust1: 	184.77 	AngleAxisMust0: 	184.23 	AngleWheelMust1: 	186.791 	AngleWheelMust0: 	182.749 	AngleAxisIs1: 	184.59 	AngleAxisIs0: 	184.23 	AngleWheelIs1: 	182.569 	AngleWheelIs0: 	186.611 	PositionError1: 	0.179733 	PositionError0: 	0.179321 	CurrentMust0: 	126 	CurrentIs0: 	148 	CurrentMust1: 	-127 	CurrentIs1: 	-129 	
ArmModuleId: 	0 	Time: 	3088455 	P0: 	200 	P1: 	200 	I0: 	0.7 	I1: 	0.7 	D0: 	18 	D1: 	18 	time_before_control_loop: 	3450743352 	time_after_control_loop: 	3450775117 	T_diff: 	31765 	AngleAxisMust1: 	217.628 	AngleAxisMust0: 	178.791 	AngleWheelMust1: 	217.051 	AngleWheelMust0: 	218.206 	AngleAxisIs1: 	218.61 	AngleAxisIs0: 	180.54 	AngleWheelIs1: 	218.352 	AngleWheelIs0: 	218.868 	PositionError1: 	-0.145187 	PositionError0: 	-1.81561 	CurrentMust0: 	-444 	CurrentIs0: 	-450 	CurrentMust1: 	-50 	CurrentIs1: 	-32 	
ArmModuleId: 	1 	Time: 	3149974 	P0: 	120 	P1: 	120 	I0: 	0.4 	I1: 	0.4 	D0: 	11 	D1: 	11 	time_before_control_loop: 	3450804901 	time_after_control_loop: 	3450844177 	T_diff: 	39276 	AngleAxisMust1: 	184.638 	AngleAxisMust0: 	184.113 	AngleWheelMust1: 	186.603 	AngleWheelMust0: 	182.673 	AngleAxisIs1: 	184.05 	AngleAxisIs0: 	183.42 	AngleWheelIs1: 	182.416 	AngleWheelIs0: 	185.684 	PositionError1: 	0.256958 	PositionError0: 	0.91925 	CurrentMust0: 	262 	CurrentIs0: 	281 	CurrentMust1: 	-155 	CurrentIs1: 	-187 	
ArmModuleId: 	0 	Time: 	3251746 	P0: 	200 	P1: 	200 	I0: 	0.7 	I1: 	0.7 	D0: 	18 	D1: 	18 	time_before_control_loop: 	3450906643 	time_after_control_loop: 	3450939428 	T_diff: 	32785 	AngleAxisMust1: 	217.455 	AngleAxisMust0: 	178.566 	AngleWheelMust1: 	216.77 	AngleWheelMust0: 	218.14 	AngleAxisIs1: 	218.52 	AngleAxisIs0: 	180.63 	AngleWheelIs1: 	218.219 	AngleWheelIs0: 	218.821 	PositionError1: 	-0.0784454 	PositionError0: 	-2.0507 	CurrentMust0: 	-712 	CurrentIs0: 	-731 	CurrentMust1: 	-50 	CurrentIs1: 	-18 	
ArmModuleId: 	1 	Time: 	3310709 	P0: 	120 	P1: 	120 	I0: 	0.4 	I1: 	0.4 	D0: 	11 	D1: 	11 	time_before_control_loop: 	3450965625 	time_after_control_loop: 	3450995355 	T_diff: 	29730 	AngleAxisMust1: 	184.617 	AngleAxisMust0: 	184.094 	AngleWheelMust1: 	186.573 	AngleWheelMust0: 	182.66 	AngleAxisIs1: 	184.05 	AngleAxisIs0: 	183.51 	AngleWheelIs1: 	182.373 	AngleWheelIs0: 	185.727 	PositionError1: 	0.287567 	PositionError0: 	0.845642 	CurrentMust0: 	310 	CurrentIs0: 	310 	CurrentMust1: 	-176 	CurrentIs1: 	-195 	
ArmModuleId: 	0 	Time: 	3403589 	P0: 	200 	P1: 	200 	I0: 	0.7 	I1: 	0.7 	D0: 	18 	D1: 	18 	time_before_control_loop: 	3451058484 	time_after_control_loop: 	3451090878 	T_diff: 	32394 	AngleAxisMust1: 	217.282 	AngleAxisMust0: 	178.341 	AngleWheelMust1: 	216.489 	AngleWheelMust0: 	218.074 	AngleAxisIs1: 	218.7 	AngleAxisIs0: 	180.54 	AngleWheelIs1: 	218.442 	AngleWheelIs0: 	218.958 	PositionError1: 	-0.367386 	PositionError0: 	-2.46848 	CurrentMust0: 	-1036 	CurrentIs0: 	-1033 	CurrentMust1: 	30 	CurrentIs1: 	-3 	
ArmModuleId: 	1 	Time: 	3467460 	P0: 	120 	P1: 	120 	I0: 	0.4 	I1: 	0.4 	D0: 	11 	D1: 	11 	time_before_control_loop: 	3451122397 	time_after_control_loop: 	3451153772 	T_diff: 	31375 	AngleAxisMust1: 	184.595 	AngleAxisMust0: 	184.075 	AngleWheelMust1: 	186.542 	AngleWheelMust0: 	182.648 	AngleAxisIs1: 	183.96 	AngleAxisIs0: 	183.42 	AngleWheelIs1: 	182.326 	AngleWheelIs0: 	185.594 	PositionError1: 	0.32225 	PositionError0: 	0.948227 	CurrentMust0: 	379 	CurrentIs0: 	391 	CurrentMust1: 	-199 	CurrentIs1: 	-201 	
ArmModuleId: 	0 	Time: 	3567382 	P0: 	200 	P1: 	200 	I0: 	0.7 	I1: 	0.7 	D0: 	18 	D1: 	18 	time_before_control_loop: 	3451222281 	time_after_control_loop: 	3451253138 	T_diff: 	30857 	AngleAxisMust1: 	217.101 	AngleAxisMust0: 	178.107 	AngleWheelMust1: 	216.197 	AngleWheelMust0: 	218.006 	AngleAxisIs1: 	218.52 	AngleAxisIs0: 	180.54 	AngleWheelIs1: 	218.262 	AngleWheelIs0: 	218.778 	PositionError1: 	-0.256012 	PositionError0: 	-2.58055 	CurrentMust0: 	183 	CurrentIs0: 	184 	CurrentMust1: 	44 	CurrentIs1: 	27 	
ArmModuleId: 	1 	Time: 	3624242 	P0: 	120 	P1: 	120 	I0: 	0.4 	I1: 	0.4 	D0: 	11 	D1: 	11 	time_before_control_loop: 	3451279166 	time_after_control_loop: 	3451311813 	T_diff: 	32647 	AngleAxisMust1: 	184.573 	AngleAxisMust0: 	184.055 	AngleWheelMust1: 	186.511 	AngleWheelMust0: 	182.635 	AngleAxisIs1: 	184.05 	AngleAxisIs0: 	183.42 	AngleWheelIs1: 	182.416 	AngleWheelIs0: 	185.684 	PositionError1: 	0.219437 	PositionError0: 	0.826584 	CurrentMust0: 	420 	CurrentIs0: 	406 	CurrentMust1: 	-204 	CurrentIs1: 	-187 	
ArmModuleId: 	0 	Time: 	3710571 	P0: 	200 	P1: 	200 	I0: 	0.7 	I1: 	0.7 	D0: 	18 	D1: 	18 	time_before_control_loop: 	3451365468 	time_after_control_loop: 	3451394066 	T_diff: 	28598 	AngleAxisMust1: 	216.901 	AngleAxisMust0: 	177.847 	AngleWheelMust1: 	215.872 	AngleWheelMust0: 	217.93 	AngleAxisIs1: 	218.61 	AngleAxisIs0: 	180.54 	AngleWheelIs1: 	218.352 	AngleWheelIs0: 	218.868 	PositionError1: 	-0.422302 	PositionError0: 	-2.99529 	CurrentMust0: 	-178 	CurrentIs0: 	-184 	CurrentMust1: 	111 	CurrentIs1: 	152 	
ArmModuleId: 	1 	Time: 	3767052 	P0: 	120 	P1: 	120 	I0: 	0.4 	I1: 	0.4 	D0: 	11 	D1: 	11 	time_before_control_loop: 	3451421966 	time_after_control_loop: 	3451458886 	T_diff: 	36920 	AngleAxisMust1: 	184.548 	AngleAxisMust0: 	184.033 	AngleWheelMust1: 	186.476 	AngleWheelMust0: 	182.621 	AngleAxisIs1: 	183.87 	AngleAxisIs0: 	183.42 	AngleWheelIs1: 	182.236 	AngleWheelIs0: 	185.504 	PositionError1: 	0.385208 	PositionError0: 	0.971405 	CurrentMust0: 	488 	CurrentIs0: 	501 	CurrentMust1: 	-241 	CurrentIs1: 	-241 	
ArmModuleId: 	0 	Time: 	3871554 	P0: 	200 	P1: 	200 	I0: 	0.7 	I1: 	0.7 	D0: 	18 	D1: 	18 	time_before_control_loop: 	3451526452 	time_after_control_loop: 	3451559794 	T_diff: 	33342 	AngleAxisMust1: 	216.697 	AngleAxisMust0: 	177.583 	AngleWheelMust1: 	215.542 	AngleWheelMust0: 	217.852 	AngleAxisIs1: 	218.52 	AngleAxisIs0: 	180.54 	AngleWheelIs1: 	218.262 	AngleWheelIs0: 	218.778 	PositionError1: 	-0.40979 	PositionError0: 	-3.23528 	CurrentMust0: 	-577 	CurrentIs0: 	-576 	CurrentMust1: 	155 	CurrentIs1: 	174 	
ArmModuleId: 	1 	Time: 	3936790 	P0: 	120 	P1: 	120 	I0: 	0.4 	I1: 	0.4 	D0: 	11 	D1: 	11 	time_before_control_loop: 	3451591754 	time_after_control_loop: 	3451625699 	T_diff: 	33945 	AngleAxisMust1: 	184.523 	AngleAxisMust0: 	184.011 	AngleWheelMust1: 	186.44 	AngleWheelMust0: 	182.607 	AngleAxisIs1: 	183.96 	AngleAxisIs0: 	183.42 	AngleWheelIs1: 	182.326 	AngleWheelIs0: 	185.594 	PositionError1: 	0.280716 	PositionError0: 	0.845627 	CurrentMust0: 	501 	CurrentIs0: 	501 	CurrentMust1: 	-251 	CurrentIs1: 	-248 	
ArmModuleId: 	0 	Time: 	4039348 	P0: 	200 	P1: 	200 	I0: 	0.7 	I1: 	0.7 	D0: 	18 	D1: 	18 	time_before_control_loop: 	3451694250 	time_after_control_loop: 	3451734065 	T_diff: 	39815 	AngleAxisMust1: 	216.454 	AngleAxisMust0: 	177.268 	AngleWheelMust1: 	215.148 	AngleWheelMust0: 	217.76 	AngleAxisIs1: 	218.52 	AngleAxisIs0: 	180.45 	AngleWheelIs1: 	218.305 	AngleWheelIs0: 	218.735 	PositionError1: 	-0.545288 	PositionError0: 	-3.58607 	CurrentMust0: 	-1048 	CurrentIs0: 	-1033 	CurrentMust1: 	238 	CurrentIs1: 	226 	
ArmModuleId: 	1 	Time: 	4105587 	P0: 	120 	P1: 	120 	I0: 	0.4 	I1: 	0.4 	D0: 	11 	D1: 	11 	time_before_control_loop: 	3451760513 	time_after_control_loop: 	3451788613 	T_diff: 	28100 	AngleAxisMust1: 	184.493 	AngleAxisMust0: 	183.984 	AngleWheelMust1: 	186.397 	AngleWheelMust0: 	182.589 	AngleAxisIs1: 	184.14 	AngleAxisIs0: 	183.42 	AngleWheelIs1: 	182.506 	AngleWheelIs0: 	185.774 	PositionError1: 	0.0834656 	PositionError0: 	0.622971 	CurrentMust0: 	474 	CurrentIs0: 	494 	CurrentMust1: 	-240 	CurrentIs1: 	-241 	
ArmModuleId: 	0 	Time: 	4208991 	P0: 	200 	P1: 	200 	I0: 	0.7 	I1: 	0.7 	D0: 	18 	D1: 	18 	time_before_control_loop: 	3451863887 	time_after_control_loop: 	3451893151 	T_diff: 	29264 	AngleAxisMust1: 	216.185 	AngleAxisMust0: 	176.919 	AngleWheelMust1: 	214.713 	AngleWheelMust0: 	217.657 	AngleAxisIs1: 	218.52 	AngleAxisIs0: 	180.54 	AngleWheelIs1: 	218.262 	AngleWheelIs0: 	218.778 	PositionError1: 	-0.604568 	PositionError0: 	-4.0645 	CurrentMust0: 	-112 	CurrentIs0: 	-111 	CurrentMust1: 	319 	CurrentIs1: 	300 	
ArmModuleId: 	1 	Time: 	4272373 	P0: 	120 	P1: 	120 	I0: 	0.4 	I1: 	0.4 	D0: 	11 	D1: 	11 	time_before_control_loop: 	3451927299 	time_after_control_loop: 	3451960329 	T_diff: 	33030 	AngleAxisMust1: 	184.46 	AngleAxisMust0: 	183.955 	AngleWheelMust1: 	186.35 	AngleWheelMust0: 	182.57 	AngleAxisIs1: 	184.05 	AngleAxisIs0: 	183.42 	AngleWheelIs1: 	182.416 	AngleWheelIs0: 	185.684 	PositionError1: 	0.154358 	PositionError0: 	0.665802 	CurrentMust0: 	479 	CurrentIs0: 	465 	CurrentMust1: 	-256 	CurrentIs1: 	-268 	
ArmModuleId: 	0 	Time: 	4370669 	P0: 	200 	P1: 	200 	I0: 	0.7 	I1: 	0.7 	D0: 	18 	D1: 	18 	time_before_control_loop: 	3452025564 	time_after_control_loop: 	3452053951 	T_diff: 	28387 	AngleAxisMust1: 	215.928 	AngleAxisMust0: 	176.585 	AngleWheelMust1: 	214.296 	AngleWheelMust0: 	217.559 	AngleAxisIs1: 	218.52 	AngleAxisIs0: 	180.54 	AngleWheelIs1: 	218.262 	AngleWheelIs0: 	218.778 	PositionError1: 	-0.702484 	PositionError0: 	-4.4814 	CurrentMust0: 	-679 	CurrentIs0: 	-686 	CurrentMust1: 	412 	CurrentIs1: 	418 	
