ArmModuleId: 	0 	Time: 	2578402 	P0: 	200 	P1: 	200 	I0: 	0.7 	I1: 	0.7 	D0: 	18 	D1: 	18 	time_before_control_loop: 	423268439 	time_after_control_loop: 	423344401 	T_diff: 	75962 	AngleAxisMust1: 	129.33 	AngleAxisMust0: 	183.96 	AngleWheelMust1: 	131.222 	AngleWheelMust0: 	127.438 	AngleAxisIs1: 	129.33 	AngleAxisIs0: 	183.87 	AngleWheelIs1: 	127.481 	AngleWheelIs0: 	131.179 	PositionError1: 	-0.0369186 	PositionError0: 	0.0486908 	CurrentMust0: 	53 	CurrentIs0: 	40 	CurrentMust1: 	40 	CurrentIs1: 	12 	
ArmModuleId: 	1 	Time: 	2681743 	P0: 	120 	P1: 	120 	I0: 	0.4 	I1: 	0.4 	D0: 	11 	D1: 	11 	time_before_control_loop: 	423371814 	time_after_control_loop: 	423443106 	T_diff: 	71292 	AngleAxisMust1: 	217.44 	AngleAxisMust0: 	255.51 	AngleWheelMust1: 	253.521 	AngleWheelMust0: 	181.359 	AngleAxisIs1: 	217.44 	AngleAxisIs0: 	255.6 	AngleWheelIs1: 	181.316 	AngleWheelIs0: 	253.564 	PositionError1: 	0.0428619 	PositionError0: 	-0.051239 	CurrentMust0: 	-33 	CurrentIs0: 	-45 	CurrentMust1: 	-28 	CurrentIs1: 	-7 	
ArmModuleId: 	0 	Time: 	2805657 	P0: 	200 	P1: 	200 	I0: 	0.7 	I1: 	0.7 	D0: 	18 	D1: 	18 	time_before_control_loop: 	423495699 	time_after_control_loop: 	423522958 	T_diff: 	27259 	AngleAxisMust1: 	131.283 	AngleAxisMust0: 	183.875 	AngleWheelMust1: 	133.134 	AngleWheelMust0: 	129.432 	AngleAxisIs1: 	128.88 	AngleAxisIs0: 	184.32 	AngleWheelIs1: 	126.816 	AngleWheelIs0: 	130.944 	PositionError1: 	2.6131 	PositionError0: 	2.18768 	CurrentMust0: 	659 	CurrentIs0: 	632 	CurrentMust1: 	-690 	CurrentIs1: 	-669 	
ArmModuleId: 	1 	Time: 	2859611 	P0: 	120 	P1: 	120 	I0: 	0.4 	I1: 	0.4 	D0: 	11 	D1: 	11 	time_before_control_loop: 	423549664 	time_after_control_loop: 	423577215 	T_diff: 	27551 	AngleAxisMust1: 	216.634 	AngleAxisMust0: 	253.884 	AngleWheelMust1: 	251.938 	AngleWheelMust0: 	181.33 	AngleAxisIs1: 	216.72 	AngleAxisIs0: 	254.7 	AngleWheelIs1: 	181.026 	AngleWheelIs0: 	252.414 	PositionError1: 	0.303741 	PositionError0: 	-0.473923 	CurrentMust0: 	-103 	CurrentIs0: 	-111 	CurrentMust1: 	-71 	CurrentIs1: 	-121 	
ArmModuleId: 	0 	Time: 	2944212 	P0: 	200 	P1: 	200 	I0: 	0.7 	I1: 	0.7 	D0: 	18 	D1: 	18 	time_before_control_loop: 	423634247 	time_after_control_loop: 	423661644 	T_diff: 	27397 	AngleAxisMust1: 	131.555 	AngleAxisMust0: 	183.863 	AngleWheelMust1: 	133.401 	AngleWheelMust0: 	129.709 	AngleAxisIs1: 	128.79 	AngleAxisIs0: 	184.23 	AngleWheelIs1: 	126.769 	AngleWheelIs0: 	130.811 	PositionError1: 	2.9401 	PositionError0: 	2.58923 	CurrentMust0: 	971 	CurrentIs0: 	986 	CurrentMust1: 	-1025 	CurrentIs1: 	-1001 	
ArmModuleId: 	1 	Time: 	2998047 	P0: 	120 	P1: 	120 	I0: 	0.4 	I1: 	0.4 	D0: 	11 	D1: 	11 	time_before_control_loop: 	423688131 	time_after_control_loop: 	423715002 	T_diff: 	26871 	AngleAxisMust1: 	216.521 	AngleAxisMust0: 	253.657 	AngleWheelMust1: 	251.717 	AngleWheelMust0: 	181.326 	AngleAxisIs1: 	216.72 	AngleAxisIs0: 	254.7 	AngleWheelIs1: 	181.026 	AngleWheelIs0: 	252.414 	PositionError1: 	0.299622 	PositionError0: 	-0.696854 	CurrentMust0: 	-162 	CurrentIs0: 	-163 	CurrentMust1: 	-88 	CurrentIs1: 	-88 	
ArmModuleId: 	0 	Time: 	3079573 	P0: 	200 	P1: 	200 	I0: 	0.7 	I1: 	0.7 	D0: 	18 	D1: 	18 	time_before_control_loop: 	423769610 	time_after_control_loop: 	423796836 	T_diff: 	27226 	AngleAxisMust1: 	131.859 	AngleAxisMust0: 	183.85 	AngleWheelMust1: 	133.698 	AngleWheelMust0: 	130.019 	AngleAxisIs1: 	128.7 	AngleAxisIs0: 	184.23 	AngleWheelIs1: 	126.679 	AngleWheelIs0: 	130.721 	PositionError1: 	3.33965 	PositionError0: 	2.97612 	CurrentMust0: 	1295 	CurrentIs0: 	1303 	CurrentMust1: 	-1367 	CurrentIs1: 	-1362 	
ArmModuleId: 	1 	Time: 	3136972 	P0: 	120 	P1: 	120 	I0: 	0.4 	I1: 	0.4 	D0: 	11 	D1: 	11 	time_before_control_loop: 	423827056 	time_after_control_loop: 	423853739 	T_diff: 	26683 	AngleAxisMust1: 	216.396 	AngleAxisMust0: 	253.404 	AngleWheelMust1: 	251.471 	AngleWheelMust0: 	181.321 	AngleAxisIs1: 	216.54 	AngleAxisIs0: 	254.7 	AngleWheelIs1: 	180.846 	AngleWheelIs0: 	252.234 	PositionError1: 	0.475098 	PositionError0: 	-0.762726 	CurrentMust0: 	-210 	CurrentIs0: 	-214 	CurrentMust1: 	-130 	CurrentIs1: 	-141 	
ArmModuleId: 	0 	Time: 	3216949 	P0: 	200 	P1: 	200 	I0: 	0.7 	I1: 	0.7 	D0: 	18 	D1: 	18 	time_before_control_loop: 	423906986 	time_after_control_loop: 	423933935 	T_diff: 	26949 	AngleAxisMust1: 	132.184 	AngleAxisMust0: 	183.835 	AngleWheelMust1: 	134.017 	AngleWheelMust0: 	130.352 	AngleAxisIs1: 	128.7 	AngleAxisIs0: 	184.32 	AngleWheelIs1: 	126.636 	AngleWheelIs0: 	130.764 	PositionError1: 	3.71532 	PositionError0: 	3.25218 	CurrentMust0: 	1350 	CurrentIs0: 	1362 	CurrentMust1: 	-1443 	CurrentIs1: 	-1458 	
ArmModuleId: 	1 	Time: 	3270216 	P0: 	120 	P1: 	120 	I0: 	0.4 	I1: 	0.4 	D0: 	11 	D1: 	11 	time_before_control_loop: 	423960280 	time_after_control_loop: 	423987968 	T_diff: 	27688 	AngleAxisMust1: 	216.261 	AngleAxisMust0: 	253.133 	AngleWheelMust1: 	251.207 	AngleWheelMust0: 	181.316 	AngleAxisIs1: 	216.63 	AngleAxisIs0: 	254.7 	AngleWheelIs1: 	180.936 	AngleWheelIs0: 	252.324 	PositionError1: 	0.380203 	PositionError0: 	-1.11696 	CurrentMust0: 	-303 	CurrentIs0: 	-288 	CurrentMust1: 	-141 	CurrentIs1: 	-101 	
ArmModuleId: 	0 	Time: 	3357920 	P0: 	200 	P1: 	200 	I0: 	0.7 	I1: 	0.7 	D0: 	18 	D1: 	18 	time_before_control_loop: 	424047961 	time_after_control_loop: 	424078576 	T_diff: 	30615 	AngleAxisMust1: 	132.528 	AngleAxisMust0: 	183.82 	AngleWheelMust1: 	134.354 	AngleWheelMust0: 	130.703 	AngleAxisIs1: 	128.97 	AngleAxisIs0: 	184.32 	AngleWheelIs1: 	126.906 	AngleWheelIs0: 	131.034 	PositionError1: 	3.7964 	PositionError0: 	3.31889 	CurrentMust0: 	1363 	CurrentIs0: 	1355 	CurrentMust1: 	-1459 	CurrentIs1: 	-1466 	
