ArmModuleId: 	0 	Time: 	2705954 	P0: 	200 	P1: 	250 	I0: 	0 	I1: 	0 	D0: 	0 	D1: 	0 	time_before_control_loop: 	3560498585 	time_after_control_loop: 	3560577351 	T_diff: 	78766 	AngleAxisMust1: 	173.16 	AngleAxisMust0: 	180.54 	AngleWheelMust1: 	173.418 	AngleWheelMust0: 	172.902 	AngleAxisIs1: 	173.16 	AngleAxisIs0: 	180.54 	AngleWheelIs1: 	172.902 	AngleWheelIs0: 	173.418 	PositionError1: 	0.000778198 	PositionError0: 	0.000732422 	CurrentMust0: 	0 	CurrentIs0: 	-2 	CurrentMust1: 	0 	CurrentIs1: 	-3 	
ArmModuleId: 	1 	Time: 	2818304 	P0: 	120 	P1: 	120 	I0: 	0 	I1: 	0 	D0: 	0 	D1: 	0 	time_before_control_loop: 	3560610920 	time_after_control_loop: 	3560676369 	T_diff: 	65449 	AngleAxisMust1: 	173.97 	AngleAxisMust0: 	192.24 	AngleWheelMust1: 	179.819 	AngleWheelMust0: 	168.121 	AngleAxisIs1: 	173.97 	AngleAxisIs0: 	192.15 	AngleWheelIs1: 	168.164 	AngleWheelIs0: 	179.776 	PositionError1: 	-0.041748 	PositionError0: 	0.0430298 	CurrentMust0: 	5 	CurrentIs0: 	-3 	CurrentMust1: 	5 	CurrentIs1: 	12 	
ArmModuleId: 	0 	Time: 	2936306 	P0: 	200 	P1: 	250 	I0: 	0 	I1: 	0 	D0: 	0 	D1: 	0 	time_before_control_loop: 	3560728878 	time_after_control_loop: 	3560762693 	T_diff: 	33815 	AngleAxisMust1: 	172.104 	AngleAxisMust0: 	179.304 	AngleWheelMust1: 	171.772 	AngleWheelMust0: 	172.437 	AngleAxisIs1: 	172.71 	AngleAxisIs0: 	181.26 	AngleWheelIs1: 	172.108 	AngleWheelIs0: 	173.312 	PositionError1: 	0.329697 	PositionError0: 	-1.53813 	CurrentMust0: 	-307 	CurrentIs0: 	-301 	CurrentMust1: 	-82 	CurrentIs1: 	-65 	
ArmModuleId: 	1 	Time: 	3008899 	P0: 	120 	P1: 	120 	I0: 	0 	I1: 	0 	D0: 	0 	D1: 	0 	time_before_control_loop: 	3560801484 	time_after_control_loop: 	3560829998 	T_diff: 	28514 	AngleAxisMust1: 	172.895 	AngleAxisMust0: 	190.718 	AngleWheelMust1: 	178.016 	AngleWheelMust0: 	167.773 	AngleAxisIs1: 	172.8 	AngleAxisIs0: 	191.25 	AngleWheelIs1: 	167.424 	AngleWheelIs0: 	178.176 	PositionError1: 	0.349457 	PositionError0: 	-0.15686 	CurrentMust0: 	-18 	CurrentIs0: 	3 	CurrentMust1: 	-41 	CurrentIs1: 	-55 	
ArmModuleId: 	0 	Time: 	3098746 	P0: 	200 	P1: 	250 	I0: 	0 	I1: 	0 	D0: 	0 	D1: 	0 	time_before_control_loop: 	3560891328 	time_after_control_loop: 	3560919643 	T_diff: 	28315 	AngleAxisMust1: 	171.939 	AngleAxisMust0: 	179.11 	AngleWheelMust1: 	171.514 	AngleWheelMust0: 	172.364 	AngleAxisIs1: 	171.99 	AngleAxisIs0: 	181.26 	AngleWheelIs1: 	171.388 	AngleWheelIs0: 	172.592 	PositionError1: 	0.976456 	PositionError0: 	-1.07747 	CurrentMust0: 	-215 	CurrentIs0: 	-249 	CurrentMust1: 	-244 	CurrentIs1: 	-218 	
ArmModuleId: 	1 	Time: 	3154023 	P0: 	120 	P1: 	120 	I0: 	0 	I1: 	0 	D0: 	0 	D1: 	0 	time_before_control_loop: 	3560946636 	time_after_control_loop: 	3560982001 	T_diff: 	35365 	AngleAxisMust1: 	172.726 	AngleAxisMust0: 	190.48 	AngleWheelMust1: 	177.734 	AngleWheelMust0: 	167.719 	AngleAxisIs1: 	172.89 	AngleAxisIs0: 	191.07 	AngleWheelIs1: 	167.6 	AngleWheelIs0: 	178.18 	PositionError1: 	0.118561 	PositionError0: 	-0.445282 	CurrentMust0: 	-53 	CurrentIs0: 	-56 	CurrentMust1: 	-14 	CurrentIs1: 	-8 	
ArmModuleId: 	0 	Time: 	3260099 	P0: 	200 	P1: 	250 	I0: 	0 	I1: 	0 	D0: 	0 	D1: 	0 	time_before_control_loop: 	3561052672 	time_after_control_loop: 	3561079127 	T_diff: 	26455 	AngleAxisMust1: 	171.764 	AngleAxisMust0: 	178.906 	AngleWheelMust1: 	171.242 	AngleWheelMust0: 	172.287 	AngleAxisIs1: 	171.18 	AngleAxisIs0: 	181.26 	AngleWheelIs1: 	170.578 	AngleWheelIs0: 	171.782 	PositionError1: 	1.70952 	PositionError0: 	-0.539902 	CurrentMust0: 	-107 	CurrentIs0: 	-116 	CurrentMust1: 	-427 	CurrentIs1: 	-422 	
ArmModuleId: 	1 	Time: 	3316152 	P0: 	120 	P1: 	120 	I0: 	0 	I1: 	0 	D0: 	0 	D1: 	0 	time_before_control_loop: 	3561108732 	time_after_control_loop: 	3561134294 	T_diff: 	25562 	AngleAxisMust1: 	172.548 	AngleAxisMust0: 	190.228 	AngleWheelMust1: 	177.435 	AngleWheelMust0: 	167.661 	AngleAxisIs1: 	172.89 	AngleAxisIs0: 	191.16 	AngleWheelIs1: 	167.557 	AngleWheelIs0: 	178.223 	PositionError1: 	0.103943 	PositionError0: 	-0.786728 	CurrentMust0: 	-94 	CurrentIs0: 	-100 	CurrentMust1: 	-12 	CurrentIs1: 	-1 	
ArmModuleId: 	0 	Time: 	3404410 	P0: 	200 	P1: 	250 	I0: 	0 	I1: 	0 	D0: 	0 	D1: 	0 	time_before_control_loop: 	3561196977 	time_after_control_loop: 	3561226074 	T_diff: 	29097 	AngleAxisMust1: 	171.585 	AngleAxisMust0: 	178.696 	AngleWheelMust1: 	170.962 	AngleWheelMust0: 	172.208 	AngleAxisIs1: 	171.09 	AngleAxisIs0: 	181.35 	AngleWheelIs1: 	170.445 	AngleWheelIs0: 	171.735 	PositionError1: 	1.76352 	PositionError0: 	-0.772659 	CurrentMust0: 	-154 	CurrentIs0: 	-150 	CurrentMust1: 	-440 	CurrentIs1: 	-415 	
ArmModuleId: 	1 	Time: 	3461176 	P0: 	120 	P1: 	120 	I0: 	0 	I1: 	0 	D0: 	0 	D1: 	0 	time_before_control_loop: 	3561253774 	time_after_control_loop: 	3561281846 	T_diff: 	28072 	AngleAxisMust1: 	172.365 	AngleAxisMust0: 	189.969 	AngleWheelMust1: 	177.129 	AngleWheelMust0: 	167.602 	AngleAxisIs1: 	172.89 	AngleAxisIs0: 	191.07 	AngleWheelIs1: 	167.6 	AngleWheelIs0: 	178.18 	PositionError1: 	0.0018158 	PositionError0: 	-1.05006 	CurrentMust0: 	-126 	CurrentIs0: 	-109 	CurrentMust1: 	0 	CurrentIs1: 	5 	
ArmModuleId: 	0 	Time: 	3544090 	P0: 	200 	P1: 	250 	I0: 	0 	I1: 	0 	D0: 	0 	D1: 	0 	time_before_control_loop: 	3561336659 	time_after_control_loop: 	3561362528 	T_diff: 	25869 	AngleAxisMust1: 	171.388 	AngleAxisMust0: 	178.465 	AngleWheelMust1: 	170.654 	AngleWheelMust0: 	172.121 	AngleAxisIs1: 	171 	AngleAxisIs0: 	181.35 	AngleWheelIs1: 	170.355 	AngleWheelIs0: 	171.645 	PositionError1: 	1.76659 	PositionError0: 	-0.990479 	CurrentMust0: 	-198 	CurrentIs0: 	-201 	CurrentMust1: 	-441 	CurrentIs1: 	-459 	
ArmModuleId: 	1 	Time: 	3604626 	P0: 	120 	P1: 	120 	I0: 	0 	I1: 	0 	D0: 	0 	D1: 	0 	time_before_control_loop: 	3561397212 	time_after_control_loop: 	3561426122 	T_diff: 	28910 	AngleAxisMust1: 	172.164 	AngleAxisMust0: 	189.684 	AngleWheelMust1: 	176.792 	AngleWheelMust0: 	167.537 	AngleAxisIs1: 	172.89 	AngleAxisIs0: 	191.07 	AngleWheelIs1: 	167.6 	AngleWheelIs0: 	178.18 	PositionError1: 	-0.0632629 	PositionError0: 	-1.38716 	CurrentMust0: 	-166 	CurrentIs0: 	-156 	CurrentMust1: 	7 	CurrentIs1: 	5 	
ArmModuleId: 	0 	Time: 	3690102 	P0: 	200 	P1: 	250 	I0: 	0 	I1: 	0 	D0: 	0 	D1: 	0 	time_before_control_loop: 	3561482673 	time_after_control_loop: 	3561519548 	T_diff: 	36875 	AngleAxisMust1: 	171.184 	AngleAxisMust0: 	178.226 	AngleWheelMust1: 	170.336 	AngleWheelMust0: 	172.031 	AngleAxisIs1: 	171.09 	AngleAxisIs0: 	181.26 	AngleWheelIs1: 	170.488 	AngleWheelIs0: 	171.692 	PositionError1: 	1.5437 	PositionError0: 	-1.35564 	CurrentMust0: 	-271 	CurrentIs0: 	-253 	CurrentMust1: 	-385 	CurrentIs1: 	-363 	
