ArmModuleId: 	0 	Time: 	2775826 	P0: 	200 	P1: 	250 	I0: 	0 	I1: 	0 	D0: 	0 	D1: 	0 	time_before_control_loop: 	3022422754 	time_after_control_loop: 	3022504561 	T_diff: 	81807 	AngleAxisMust1: 	224.91 	AngleAxisMust0: 	226.8 	AngleWheelMust1: 	247.273 	AngleWheelMust0: 	202.547 	AngleAxisIs1: 	224.91 	AngleAxisIs0: 	226.89 	AngleWheelIs1: 	202.504 	AngleWheelIs0: 	247.316 	PositionError1: 	0.0405731 	PositionError0: 	-0.0502625 	CurrentMust0: 	-10 	CurrentIs0: 	-10 	CurrentMust1: 	-10 	CurrentIs1: 	-43 	
ArmModuleId: 	1 	Time: 	2888487 	P0: 	100 	P1: 	100 	I0: 	0 	I1: 	0 	D0: 	0 	D1: 	0 	time_before_control_loop: 	3022535441 	time_after_control_loop: 	3022622671 	T_diff: 	87230 	AngleAxisMust1: 	226.35 	AngleAxisMust0: 	245.25 	AngleWheelMust1: 	257.529 	AngleWheelMust0: 	195.171 	AngleAxisIs1: 	226.35 	AngleAxisIs0: 	245.16 	AngleWheelIs1: 	195.214 	AngleWheelIs0: 	257.486 	PositionError1: 	-0.0445709 	PositionError0: 	0.0349426 	CurrentMust0: 	3 	CurrentIs0: 	-4 	CurrentMust1: 	4 	CurrentIs1: 	-1 	
ArmModuleId: 	0 	Time: 	3032839 	P0: 	200 	P1: 	250 	I0: 	0 	I1: 	0 	D0: 	0 	D1: 	0 	time_before_control_loop: 	3022679768 	time_after_control_loop: 	3022711982 	T_diff: 	32214 	AngleAxisMust1: 	223.711 	AngleAxisMust0: 	225.55 	AngleWheelMust1: 	245.476 	AngleWheelMust0: 	201.945 	AngleAxisIs1: 	224.91 	AngleAxisIs0: 	227.61 	AngleWheelIs1: 	202.16 	AngleWheelIs0: 	247.66 	PositionError1: 	-0.214371 	PositionError0: 	-2.18138 	CurrentMust0: 	-436 	CurrentIs0: 	-430 	CurrentMust1: 	53 	CurrentIs1: 	25 	
ArmModuleId: 	1 	Time: 	3095572 	P0: 	100 	P1: 	100 	I0: 	0 	I1: 	0 	D0: 	0 	D1: 	0 	time_before_control_loop: 	3022742635 	time_after_control_loop: 	3022779468 	T_diff: 	36833 	AngleAxisMust1: 	225.112 	AngleAxisMust0: 	243.508 	AngleWheelMust1: 	255.458 	AngleWheelMust0: 	194.766 	AngleAxisIs1: 	225.18 	AngleAxisIs0: 	243.99 	AngleWheelIs1: 	194.603 	AngleWheelIs0: 	255.757 	PositionError1: 	0.163391 	PositionError0: 	-0.295273 	CurrentMust0: 	-29 	CurrentIs0: 	-4 	CurrentMust1: 	-16 	CurrentIs1: 	-1 	
ArmModuleId: 	0 	Time: 	3190174 	P0: 	200 	P1: 	250 	I0: 	0 	I1: 	0 	D0: 	0 	D1: 	0 	time_before_control_loop: 	3022837102 	time_after_control_loop: 	3022863919 	T_diff: 	26817 	AngleAxisMust1: 	223.528 	AngleAxisMust0: 	225.36 	AngleWheelMust1: 	245.203 	AngleWheelMust0: 	201.854 	AngleAxisIs1: 	224.91 	AngleAxisIs0: 	227.61 	AngleWheelIs1: 	202.16 	AngleWheelIs0: 	247.66 	PositionError1: 	-0.306519 	PositionError0: 	-2.45636 	CurrentMust0: 	-491 	CurrentIs0: 	-514 	CurrentMust1: 	76 	CurrentIs1: 	77 	
ArmModuleId: 	1 	Time: 	3252520 	P0: 	100 	P1: 	100 	I0: 	0 	I1: 	0 	D0: 	0 	D1: 	0 	time_before_control_loop: 	3022899479 	time_after_control_loop: 	3022929420 	T_diff: 	29941 	AngleAxisMust1: 	224.924 	AngleAxisMust0: 	243.242 	AngleWheelMust1: 	255.143 	AngleWheelMust0: 	194.705 	AngleAxisIs1: 	225.09 	AngleAxisIs0: 	244.08 	AngleWheelIs1: 	194.47 	AngleWheelIs0: 	255.71 	PositionError1: 	0.234268 	PositionError0: 	-0.56572 	CurrentMust0: 	-56 	CurrentIs0: 	-63 	CurrentMust1: 	-23 	CurrentIs1: 	-41 	
ArmModuleId: 	0 	Time: 	3348346 	P0: 	200 	P1: 	250 	I0: 	0 	I1: 	0 	D0: 	0 	D1: 	0 	time_before_control_loop: 	3022995255 	time_after_control_loop: 	3023024585 	T_diff: 	29330 	AngleAxisMust1: 	223.342 	AngleAxisMust0: 	225.166 	AngleWheelMust1: 	244.923 	AngleWheelMust0: 	201.76 	AngleAxisIs1: 	224.82 	AngleAxisIs0: 	227.52 	AngleWheelIs1: 	202.113 	AngleWheelIs0: 	247.527 	PositionError1: 	-0.353134 	PositionError0: 	-2.60269 	CurrentMust0: 	-520 	CurrentIs0: 	-514 	CurrentMust1: 	88 	CurrentIs1: 	128 	
ArmModuleId: 	1 	Time: 	3402394 	P0: 	100 	P1: 	100 	I0: 	0 	I1: 	0 	D0: 	0 	D1: 	0 	time_before_control_loop: 	3023049334 	time_after_control_loop: 	3023079046 	T_diff: 	29712 	AngleAxisMust1: 	224.731 	AngleAxisMust0: 	242.971 	AngleWheelMust1: 	254.821 	AngleWheelMust0: 	194.642 	AngleAxisIs1: 	225.09 	AngleAxisIs0: 	244.08 	AngleWheelIs1: 	194.47 	AngleWheelIs0: 	255.71 	PositionError1: 	0.171265 	PositionError0: 	-0.887604 	CurrentMust0: 	-88 	CurrentIs0: 	-100 	CurrentMust1: 	-17 	CurrentIs1: 	-15 	
ArmModuleId: 	0 	Time: 	3489699 	P0: 	200 	P1: 	250 	I0: 	0 	I1: 	0 	D0: 	0 	D1: 	0 	time_before_control_loop: 	3023136617 	time_after_control_loop: 	3023164670 	T_diff: 	28053 	AngleAxisMust1: 	223.141 	AngleAxisMust0: 	224.957 	AngleWheelMust1: 	244.623 	AngleWheelMust0: 	201.659 	AngleAxisIs1: 	224.91 	AngleAxisIs0: 	227.61 	AngleWheelIs1: 	202.16 	AngleWheelIs0: 	247.66 	PositionError1: 	-0.500702 	PositionError0: 	-3.03571 	CurrentMust0: 	-607 	CurrentIs0: 	-610 	CurrentMust1: 	125 	CurrentIs1: 	143 	
ArmModuleId: 	1 	Time: 	3548886 	P0: 	100 	P1: 	100 	I0: 	0 	I1: 	0 	D0: 	0 	D1: 	0 	time_before_control_loop: 	3023195814 	time_after_control_loop: 	3023222311 	T_diff: 	26497 	AngleAxisMust1: 	224.525 	AngleAxisMust0: 	242.68 	AngleWheelMust1: 	254.475 	AngleWheelMust0: 	194.574 	AngleAxisIs1: 	225.09 	AngleAxisIs0: 	244.08 	AngleWheelIs1: 	194.47 	AngleWheelIs0: 	255.71 	PositionError1: 	0.103607 	PositionError0: 	-1.23341 	CurrentMust0: 	-123 	CurrentIs0: 	-122 	CurrentMust1: 	-10 	CurrentIs1: 	-1 	
ArmModuleId: 	0 	Time: 	3629170 	P0: 	200 	P1: 	250 	I0: 	0 	I1: 	0 	D0: 	0 	D1: 	0 	time_before_control_loop: 	3023276084 	time_after_control_loop: 	3023307745 	T_diff: 	31661 	AngleAxisMust1: 	222.946 	AngleAxisMust0: 	224.754 	AngleWheelMust1: 	244.331 	AngleWheelMust0: 	201.562 	AngleAxisIs1: 	224.82 	AngleAxisIs0: 	227.43 	AngleWheelIs1: 	202.156 	AngleWheelIs0: 	247.484 	PositionError1: 	-0.594604 	PositionError0: 	-3.15178 	CurrentMust0: 	-630 	CurrentIs0: 	-632 	CurrentMust1: 	148 	CurrentIs1: 	161 	
