ArmModuleId: 	0 	Time: 	2555154 	P0: 	150 	P1: 	150 	I0: 	0.5 	I1: 	0.5 	D0: 	10 	D1: 	10 	time_before_control_loop: 	1602891998 	time_after_control_loop: 	1602959071 	T_diff: 	67073 	AngleAxisMust1: 	226.53 	AngleAxisMust0: 	226.35 	AngleWheelMust1: 	248.678 	AngleWheelMust0: 	204.382 	AngleAxisIs1: 	226.53 	AngleAxisIs0: 	226.35 	AngleWheelIs1: 	204.382 	AngleWheelIs0: 	248.678 	PositionError1: 	-0.00285339 	PositionError0: 	-0.00805664 	CurrentMust0: 	-6 	CurrentIs0: 	-2 	CurrentMust1: 	2 	CurrentIs1: 	-47 	
ArmModuleId: 	1 	Time: 	2648730 	P0: 	80 	P1: 	80 	I0: 	0.2 	I1: 	0.2 	D0: 	3 	D1: 	3 	time_before_control_loop: 	1602985571 	time_after_control_loop: 	1603052572 	T_diff: 	67001 	AngleAxisMust1: 	217.35 	AngleAxisMust0: 	261.72 	AngleWheelMust1: 	256.398 	AngleWheelMust0: 	178.302 	AngleAxisIs1: 	217.17 	AngleAxisIs0: 	261.63 	AngleWheelIs1: 	178.165 	AngleWheelIs0: 	256.175 	PositionError1: 	0.137192 	PositionError0: 	0.214325 	CurrentMust0: 	73 	CurrentIs0: 	79 	CurrentMust1: 	-47 	CurrentIs1: 	-59 	
ArmModuleId: 	0 	Time: 	2769647 	P0: 	150 	P1: 	150 	I0: 	0.5 	I1: 	0.5 	D0: 	10 	D1: 	10 	time_before_control_loop: 	1603106465 	time_after_control_loop: 	1603133715 	T_diff: 	27250 	AngleAxisMust1: 	224.525 	AngleAxisMust0: 	224.349 	AngleWheelMust1: 	245.717 	AngleWheelMust0: 	203.334 	AngleAxisIs1: 	226.44 	AngleAxisIs0: 	227.07 	AngleWheelIs1: 	203.948 	AngleWheelIs0: 	248.932 	PositionError1: 	-0.613052 	PositionError0: 	-3.21068 	CurrentMust0: 	-659 	CurrentIs0: 	-622 	CurrentMust1: 	126 	CurrentIs1: 	123 	
ArmModuleId: 	1 	Time: 	2826462 	P0: 	80 	P1: 	80 	I0: 	0.2 	I1: 	0.2 	D0: 	3 	D1: 	3 	time_before_control_loop: 	1603163301 	time_after_control_loop: 	1603194471 	T_diff: 	31170 	AngleAxisMust1: 	215.536 	AngleAxisMust0: 	258.985 	AngleWheelMust1: 	253.277 	AngleWheelMust0: 	177.795 	AngleAxisIs1: 	216.09 	AngleAxisIs0: 	260.55 	AngleWheelIs1: 	177.601 	AngleWheelIs0: 	254.579 	PositionError1: 	0.19487 	PositionError0: 	-1.29677 	CurrentMust0: 	-66 	CurrentIs0: 	-57 	CurrentMust1: 	-57 	CurrentIs1: 	-26 	
ArmModuleId: 	0 	Time: 	2919011 	P0: 	150 	P1: 	150 	I0: 	0.5 	I1: 	0.5 	D0: 	10 	D1: 	10 	time_before_control_loop: 	1603255827 	time_after_control_loop: 	1603285444 	T_diff: 	29617 	AngleAxisMust1: 	224.216 	AngleAxisMust0: 	224.041 	AngleWheelMust1: 	245.26 	AngleWheelMust0: 	203.172 	AngleAxisIs1: 	226.44 	AngleAxisIs0: 	226.89 	AngleWheelIs1: 	204.034 	AngleWheelIs0: 	248.846 	PositionError1: 	-0.861923 	PositionError0: 	-3.58446 	CurrentMust0: 	-969 	CurrentIs0: 	-977 	CurrentMust1: 	219 	CurrentIs1: 	254 	
ArmModuleId: 	1 	Time: 	2975377 	P0: 	80 	P1: 	80 	I0: 	0.2 	I1: 	0.2 	D0: 	3 	D1: 	3 	time_before_control_loop: 	1603312211 	time_after_control_loop: 	1603339330 	T_diff: 	27119 	AngleAxisMust1: 	215.256 	AngleAxisMust0: 	258.563 	AngleWheelMust1: 	252.796 	AngleWheelMust0: 	177.716 	AngleAxisIs1: 	216.18 	AngleAxisIs0: 	260.55 	AngleWheelIs1: 	177.691 	AngleWheelIs0: 	254.669 	PositionError1: 	0.026001 	PositionError0: 	-1.87238 	CurrentMust0: 	-159 	CurrentIs0: 	-159 	CurrentMust1: 	-47 	CurrentIs1: 	-66 	
ArmModuleId: 	0 	Time: 	3057400 	P0: 	150 	P1: 	150 	I0: 	0.5 	I1: 	0.5 	D0: 	10 	D1: 	10 	time_before_control_loop: 	1603394218 	time_after_control_loop: 	1603421860 	T_diff: 	27642 	AngleAxisMust1: 	223.891 	AngleAxisMust0: 	223.716 	AngleWheelMust1: 	244.78 	AngleWheelMust0: 	203.002 	AngleAxisIs1: 	226.44 	AngleAxisIs0: 	227.07 	AngleWheelIs1: 	203.948 	AngleWheelIs0: 	248.932 	PositionError1: 	-0.946014 	PositionError0: 	-4.15082 	CurrentMust0: 	-122 	CurrentIs0: 	-131 	CurrentMust1: 	294 	CurrentIs1: 	291 	
ArmModuleId: 	1 	Time: 	3111010 	P0: 	80 	P1: 	80 	I0: 	0.2 	I1: 	0.2 	D0: 	3 	D1: 	3 	time_before_control_loop: 	1603447881 	time_after_control_loop: 	1603475698 	T_diff: 	27817 	AngleAxisMust1: 	214.962 	AngleAxisMust0: 	258.119 	AngleWheelMust1: 	252.29 	AngleWheelMust0: 	177.634 	AngleAxisIs1: 	216.27 	AngleAxisIs0: 	260.46 	AngleWheelIs1: 	177.824 	AngleWheelIs0: 	254.716 	PositionError1: 	-0.189255 	PositionError0: 	-2.42572 	CurrentMust0: 	-262 	CurrentIs0: 	-269 	CurrentMust1: 	-28 	CurrentIs1: 	-32 	
ArmModuleId: 	0 	Time: 	3192774 	P0: 	150 	P1: 	150 	I0: 	0.5 	I1: 	0.5 	D0: 	10 	D1: 	10 	time_before_control_loop: 	1603529590 	time_after_control_loop: 	1603559172 	T_diff: 	29582 	AngleAxisMust1: 	223.552 	AngleAxisMust0: 	223.378 	AngleWheelMust1: 	244.28 	AngleWheelMust0: 	202.825 	AngleAxisIs1: 	226.44 	AngleAxisIs0: 	227.07 	AngleWheelIs1: 	203.948 	AngleWheelIs0: 	248.932 	PositionError1: 	-1.12299 	PositionError0: 	-4.65056 	CurrentMust0: 	-495 	CurrentIs0: 	-470 	CurrentMust1: 	390 	CurrentIs1: 	394 	
ArmModuleId: 	1 	Time: 	3248313 	P0: 	80 	P1: 	80 	I0: 	0.2 	I1: 	0.2 	D0: 	3 	D1: 	3 	time_before_control_loop: 	1603585128 	time_after_control_loop: 	1603613873 	T_diff: 	28745 	AngleAxisMust1: 	214.656 	AngleAxisMust0: 	257.657 	AngleWheelMust1: 	251.763 	AngleWheelMust0: 	177.549 	AngleAxisIs1: 	216.09 	AngleAxisIs0: 	260.64 	AngleWheelIs1: 	177.558 	AngleWheelIs0: 	254.622 	PositionError1: 	-0.00878906 	PositionError0: 	-2.8586 	CurrentMust0: 	-369 	CurrentIs0: 	-365 	CurrentMust1: 	-39 	CurrentIs1: 	-26 	
ArmModuleId: 	0 	Time: 	3332184 	P0: 	150 	P1: 	150 	I0: 	0.5 	I1: 	0.5 	D0: 	10 	D1: 	10 	time_before_control_loop: 	1603669003 	time_after_control_loop: 	1603700304 	T_diff: 	31301 	AngleAxisMust1: 	223.183 	AngleAxisMust0: 	223.009 	AngleWheelMust1: 	243.734 	AngleWheelMust0: 	202.632 	AngleAxisIs1: 	226.44 	AngleAxisIs0: 	227.16 	AngleWheelIs1: 	203.905 	AngleWheelIs0: 	248.975 	PositionError1: 	-1.27345 	PositionError0: 	-5.23982 	CurrentMust0: 	-928 	CurrentIs0: 	-928 	CurrentMust1: 	497 	CurrentIs1: 	490 	
