ArmModuleId: 	0 	Time: 	2568613 	P0: 	150 	P1: 	150 	I0: 	0.5 	I1: 	0.5 	D0: 	10 	D1: 	10 	time_before_control_loop: 	3943128281 	time_after_control_loop: 	3943205171 	T_diff: 	76890 	AngleAxisMust1: 	182.16 	AngleAxisMust0: 	184.14 	AngleWheelMust1: 	184.138 	AngleWheelMust0: 	180.182 	AngleAxisIs1: 	182.16 	AngleAxisIs0: 	184.14 	AngleWheelIs1: 	180.182 	AngleWheelIs0: 	184.138 	PositionError1: 	-1.52588e-05 	PositionError0: 	-0.000488281 	CurrentMust0: 	0 	CurrentIs0: 	64 	CurrentMust1: 	0 	CurrentIs1: 	-3 	
ArmModuleId: 	1 	Time: 	2676124 	P0: 	80 	P1: 	80 	I0: 	0.1 	I1: 	0.1 	D0: 	2 	D1: 	2 	time_before_control_loop: 	3943235804 	time_after_control_loop: 	3943302990 	T_diff: 	67186 	AngleAxisMust1: 	181.89 	AngleAxisMust0: 	187.47 	AngleWheelMust1: 	185.459 	AngleWheelMust0: 	178.321 	AngleAxisIs1: 	181.98 	AngleAxisIs0: 	187.47 	AngleWheelIs1: 	178.411 	AngleWheelIs0: 	185.549 	PositionError1: 	-0.0898132 	PositionError0: 	-0.0906067 	CurrentMust0: 	-19 	CurrentIs0: 	-19 	CurrentMust1: 	19 	CurrentIs1: 	19 	
ArmModuleId: 	0 	Time: 	2796516 	P0: 	150 	P1: 	150 	I0: 	0.5 	I1: 	0.5 	D0: 	10 	D1: 	10 	time_before_control_loop: 	3943356175 	time_after_control_loop: 	3943388549 	T_diff: 	32374 	AngleAxisMust1: 	181.046 	AngleAxisMust0: 	182.984 	AngleWheelMust1: 	182.472 	AngleWheelMust0: 	179.62 	AngleAxisIs1: 	181.8 	AngleAxisIs0: 	184.86 	AngleWheelIs1: 	179.478 	AngleWheelIs0: 	184.122 	PositionError1: 	0.143463 	PositionError0: 	-1.64784 	CurrentMust0: 	-341 	CurrentIs0: 	-334 	CurrentMust1: 	-29 	CurrentIs1: 	-28 	
ArmModuleId: 	1 	Time: 	2855040 	P0: 	80 	P1: 	80 	I0: 	0.1 	I1: 	0.1 	D0: 	2 	D1: 	2 	time_before_control_loop: 	3943414727 	time_after_control_loop: 	3943441911 	T_diff: 	27184 	AngleAxisMust1: 	180.782 	AngleAxisMust0: 	186.243 	AngleWheelMust1: 	183.765 	AngleWheelMust0: 	177.799 	AngleAxisIs1: 	180.54 	AngleAxisIs0: 	186.21 	AngleWheelIs1: 	177.573 	AngleWheelIs0: 	183.507 	PositionError1: 	0.227234 	PositionError0: 	0.260696 	CurrentMust0: 	10 	CurrentIs0: 	3 	CurrentMust1: 	-7 	CurrentIs1: 	-1 	
ArmModuleId: 	0 	Time: 	2939277 	P0: 	150 	P1: 	150 	I0: 	0.5 	I1: 	0.5 	D0: 	10 	D1: 	10 	time_before_control_loop: 	3943498938 	time_after_control_loop: 	3943526357 	T_diff: 	27419 	AngleAxisMust1: 	180.885 	AngleAxisMust0: 	182.816 	AngleWheelMust1: 	182.231 	AngleWheelMust0: 	179.539 	AngleAxisIs1: 	181.44 	AngleAxisIs0: 	184.77 	AngleWheelIs1: 	179.161 	AngleWheelIs0: 	183.719 	PositionError1: 	0.378525 	PositionError0: 	-1.48805 	CurrentMust0: 	-429 	CurrentIs0: 	-460 	CurrentMust1: 	-83 	CurrentIs1: 	-99 	
ArmModuleId: 	1 	Time: 	2993032 	P0: 	80 	P1: 	80 	I0: 	0.1 	I1: 	0.1 	D0: 	2 	D1: 	2 	time_before_control_loop: 	3943552711 	time_after_control_loop: 	3943579681 	T_diff: 	26970 	AngleAxisMust1: 	180.622 	AngleAxisMust0: 	186.065 	AngleWheelMust1: 	183.52 	AngleWheelMust0: 	177.723 	AngleAxisIs1: 	180.54 	AngleAxisIs0: 	186.21 	AngleWheelIs1: 	177.573 	AngleWheelIs0: 	183.507 	PositionError1: 	0.150925 	PositionError0: 	0.0128021 	CurrentMust0: 	-7 	CurrentIs0: 	-53 	CurrentMust1: 	-3 	CurrentIs1: 	-1 	
ArmModuleId: 	0 	Time: 	3078984 	P0: 	150 	P1: 	150 	I0: 	0.5 	I1: 	0.5 	D0: 	10 	D1: 	10 	time_before_control_loop: 	3943638648 	time_after_control_loop: 	3943666079 	T_diff: 	27431 	AngleAxisMust1: 	180.705 	AngleAxisMust0: 	182.63 	AngleWheelMust1: 	181.962 	AngleWheelMust0: 	179.449 	AngleAxisIs1: 	180.81 	AngleAxisIs0: 	184.95 	AngleWheelIs1: 	178.445 	AngleWheelIs0: 	183.175 	PositionError1: 	1.0041 	PositionError0: 	-1.21246 	CurrentMust0: 	-482 	CurrentIs0: 	-448 	CurrentMust1: 	-225 	CurrentIs1: 	-223 	
ArmModuleId: 	1 	Time: 	3132548 	P0: 	80 	P1: 	80 	I0: 	0.1 	I1: 	0.1 	D0: 	2 	D1: 	2 	time_before_control_loop: 	3943692220 	time_after_control_loop: 	3943719333 	T_diff: 	27113 	AngleAxisMust1: 	180.443 	AngleAxisMust0: 	185.867 	AngleWheelMust1: 	183.247 	AngleWheelMust0: 	177.639 	AngleAxisIs1: 	180.72 	AngleAxisIs0: 	186.03 	AngleWheelIs1: 	177.839 	AngleWheelIs0: 	183.601 	PositionError1: 	-0.199142 	PositionError0: 	-0.354202 	CurrentMust0: 	-39 	CurrentIs0: 	-19 	CurrentMust1: 	24 	CurrentIs1: 	26 	
ArmModuleId: 	0 	Time: 	3214245 	P0: 	150 	P1: 	150 	I0: 	0.5 	I1: 	0.5 	D0: 	10 	D1: 	10 	time_before_control_loop: 	3943773910 	time_after_control_loop: 	3943800613 	T_diff: 	26703 	AngleAxisMust1: 	180.522 	AngleAxisMust0: 	182.44 	AngleWheelMust1: 	181.688 	AngleWheelMust0: 	179.356 	AngleAxisIs1: 	180.27 	AngleAxisIs0: 	184.77 	AngleWheelIs1: 	177.991 	AngleWheelIs0: 	182.549 	PositionError1: 	1.36572 	PositionError0: 	-0.86055 	CurrentMust0: 	-499 	CurrentIs0: 	-507 	CurrentMust1: 	-359 	CurrentIs1: 	-407 	
ArmModuleId: 	1 	Time: 	3267452 	P0: 	80 	P1: 	80 	I0: 	0.1 	I1: 	0.1 	D0: 	2 	D1: 	2 	time_before_control_loop: 	3943827137 	time_after_control_loop: 	3943854108 	T_diff: 	26971 	AngleAxisMust1: 	180.261 	AngleAxisMust0: 	185.665 	AngleWheelMust1: 	182.968 	AngleWheelMust0: 	177.554 	AngleAxisIs1: 	180.63 	AngleAxisIs0: 	186.21 	AngleWheelIs1: 	177.663 	AngleWheelIs0: 	183.597 	PositionError1: 	-0.108932 	PositionError0: 	-0.628922 	CurrentMust0: 	-68 	CurrentIs0: 	-41 	CurrentMust1: 	19 	CurrentIs1: 	5 	
ArmModuleId: 	0 	Time: 	3349800 	P0: 	150 	P1: 	150 	I0: 	0.5 	I1: 	0.5 	D0: 	10 	D1: 	10 	time_before_control_loop: 	3943909459 	time_after_control_loop: 	3943939530 	T_diff: 	30071 	AngleAxisMust1: 	180.328 	AngleAxisMust0: 	182.238 	AngleWheelMust1: 	181.397 	AngleWheelMust0: 	179.258 	AngleAxisIs1: 	180.18 	AngleAxisIs0: 	184.86 	AngleWheelIs1: 	177.858 	AngleWheelIs0: 	182.502 	PositionError1: 	1.40071 	PositionError0: 	-1.10451 	CurrentMust0: 	-602 	CurrentIs0: 	-625 	CurrentMust1: 	-458 	CurrentIs1: 	-474 	
ArmModuleId: 	1 	Time: 	3405866 	P0: 	80 	P1: 	80 	I0: 	0.1 	I1: 	0.1 	D0: 	2 	D1: 	2 	time_before_control_loop: 	3943965577 	time_after_control_loop: 	3943992397 	T_diff: 	26820 	AngleAxisMust1: 	180.067 	AngleAxisMust0: 	185.451 	AngleWheelMust1: 	182.672 	AngleWheelMust0: 	177.462 	AngleAxisIs1: 	180.54 	AngleAxisIs0: 	186.21 	AngleWheelIs1: 	177.573 	AngleWheelIs0: 	183.507 	PositionError1: 	-0.110031 	PositionError0: 	-0.834839 	CurrentMust0: 	-94 	CurrentIs0: 	-115 	CurrentMust1: 	20 	CurrentIs1: 	19 	
ArmModuleId: 	0 	Time: 	3492532 	P0: 	150 	P1: 	150 	I0: 	0.5 	I1: 	0.5 	D0: 	10 	D1: 	10 	time_before_control_loop: 	3944052195 	time_after_control_loop: 	3944083097 	T_diff: 	30902 	AngleAxisMust1: 	180.111 	AngleAxisMust0: 	182.013 	AngleWheelMust1: 	181.073 	AngleWheelMust0: 	179.149 	AngleAxisIs1: 	180.18 	AngleAxisIs0: 	184.95 	AngleWheelIs1: 	177.815 	AngleWheelIs0: 	182.545 	PositionError1: 	1.33466 	PositionError0: 	-1.47122 	CurrentMust0: 	279 	CurrentIs0: 	256 	CurrentMust1: 	-546 	CurrentIs1: 	-518 	
