ArmModuleId: 	0 	Time: 	2749695 	P0: 	200 	P1: 	200 	I0: 	0.6 	I1: 	0.6 	D0: 	18 	D1: 	18 	time_before_control_loop: 	3225081942 	time_after_control_loop: 	3225159630 	T_diff: 	77688 	AngleAxisMust1: 	172.17 	AngleAxisMust0: 	175.95 	AngleWheelMust1: 	170.235 	AngleWheelMust0: 	174.105 	AngleAxisIs1: 	172.17 	AngleAxisIs0: 	175.95 	AngleWheelIs1: 	174.105 	AngleWheelIs0: 	170.235 	PositionError1: 	0.000640869 	PositionError0: 	0.00106812 	CurrentMust0: 	1 	CurrentIs0: 	6 	CurrentMust1: 	0 	CurrentIs1: 	-3 	
ArmModuleId: 	1 	Time: 	2853386 	P0: 	120 	P1: 	120 	I0: 	0.4 	I1: 	0.4 	D0: 	10 	D1: 	10 	time_before_control_loop: 	3225185651 	time_after_control_loop: 	3225268161 	T_diff: 	82510 	AngleAxisMust1: 	200.07 	AngleAxisMust0: 	161.19 	AngleWheelMust1: 	191.082 	AngleWheelMust0: 	209.058 	AngleAxisIs1: 	199.89 	AngleAxisIs0: 	161.1 	AngleWheelIs1: 	208.921 	AngleWheelIs0: 	190.859 	PositionError1: 	0.133942 	PositionError0: 	0.221863 	CurrentMust0: 	153 	CurrentIs0: 	148 	CurrentMust1: 	-92 	CurrentIs1: 	-103 	
ArmModuleId: 	0 	Time: 	2990660 	P0: 	200 	P1: 	200 	I0: 	0.6 	I1: 	0.6 	D0: 	18 	D1: 	18 	time_before_control_loop: 	3225322887 	time_after_control_loop: 	3225348771 	T_diff: 	25884 	AngleAxisMust1: 	172.371 	AngleAxisMust0: 	176.054 	AngleWheelMust1: 	170.486 	AngleWheelMust0: 	174.257 	AngleAxisIs1: 	171.9 	AngleAxisIs0: 	176.67 	AngleWheelIs1: 	173.491 	AngleWheelIs0: 	170.309 	PositionError1: 	0.765274 	PositionError0: 	0.176498 	CurrentMust0: 	49 	CurrentIs0: 	47 	CurrentMust1: 	-208 	CurrentIs1: 	-196 	
ArmModuleId: 	1 	Time: 	3041567 	P0: 	120 	P1: 	120 	I0: 	0.4 	I1: 	0.4 	D0: 	10 	D1: 	10 	time_before_control_loop: 	3225373847 	time_after_control_loop: 	3225405291 	T_diff: 	31444 	AngleAxisMust1: 	199.554 	AngleAxisMust0: 	161.673 	AngleWheelMust1: 	190.797 	AngleWheelMust0: 	208.312 	AngleAxisIs1: 	198.45 	AngleAxisIs0: 	159.84 	AngleWheelIs1: 	208.083 	AngleWheelIs0: 	188.817 	PositionError1: 	0.229721 	PositionError0: 	1.98088 	CurrentMust0: 	447 	CurrentIs0: 	480 	CurrentMust1: 	-117 	CurrentIs1: 	-83 	
ArmModuleId: 	0 	Time: 	3126615 	P0: 	200 	P1: 	200 	I0: 	0.6 	I1: 	0.6 	D0: 	18 	D1: 	18 	time_before_control_loop: 	3225458842 	time_after_control_loop: 	3225487503 	T_diff: 	28661 	AngleAxisMust1: 	172.398 	AngleAxisMust0: 	176.068 	AngleWheelMust1: 	170.519 	AngleWheelMust0: 	174.277 	AngleAxisIs1: 	171.99 	AngleAxisIs0: 	176.58 	AngleWheelIs1: 	173.624 	AngleWheelIs0: 	170.356 	PositionError1: 	0.652374 	PositionError0: 	0.162811 	CurrentMust0: 	60 	CurrentIs0: 	57 	CurrentMust1: 	-244 	CurrentIs1: 	-248 	
ArmModuleId: 	1 	Time: 	3190583 	P0: 	120 	P1: 	120 	I0: 	0.4 	I1: 	0.4 	D0: 	10 	D1: 	10 	time_before_control_loop: 	3225522827 	time_after_control_loop: 	3225551198 	T_diff: 	28371 	AngleAxisMust1: 	199.486 	AngleAxisMust0: 	161.737 	AngleWheelMust1: 	190.76 	AngleWheelMust0: 	208.213 	AngleAxisIs1: 	198.54 	AngleAxisIs0: 	160.11 	AngleWheelIs1: 	208.044 	AngleWheelIs0: 	189.036 	PositionError1: 	0.169296 	PositionError0: 	1.72395 	CurrentMust0: 	526 	CurrentIs0: 	404 	CurrentMust1: 	-122 	CurrentIs1: 	-89 	
ArmModuleId: 	0 	Time: 	3272217 	P0: 	200 	P1: 	200 	I0: 	0.6 	I1: 	0.6 	D0: 	18 	D1: 	18 	time_before_control_loop: 	3225604460 	time_after_control_loop: 	3225635888 	T_diff: 	31428 	AngleAxisMust1: 	172.428 	AngleAxisMust0: 	176.084 	AngleWheelMust1: 	170.557 	AngleWheelMust0: 	174.3 	AngleAxisIs1: 	171.9 	AngleAxisIs0: 	176.58 	AngleWheelIs1: 	173.534 	AngleWheelIs0: 	170.266 	PositionError1: 	0.765381 	PositionError0: 	0.290894 	CurrentMust0: 	105 	CurrentIs0: 	87 	CurrentMust1: 	-329 	CurrentIs1: 	-344 	
ArmModuleId: 	1 	Time: 	3330665 	P0: 	120 	P1: 	120 	I0: 	0.4 	I1: 	0.4 	D0: 	10 	D1: 	10 	time_before_control_loop: 	3225662944 	time_after_control_loop: 	3225693671 	T_diff: 	30727 	AngleAxisMust1: 	199.408 	AngleAxisMust0: 	161.81 	AngleWheelMust1: 	190.717 	AngleWheelMust0: 	208.1 	AngleAxisIs1: 	200.61 	AngleAxisIs0: 	165.24 	AngleWheelIs1: 	207.663 	AngleWheelIs0: 	193.557 	PositionError1: 	0.437302 	PositionError0: 	-2.84053 	CurrentMust0: 	-52 	CurrentIs0: 	993 	CurrentMust1: 	-171 	CurrentIs1: 	-170 	
ArmModuleId: 	0 	Time: 	3427634 	P0: 	200 	P1: 	200 	I0: 	0.6 	I1: 	0.6 	D0: 	18 	D1: 	18 	time_before_control_loop: 	3225759876 	time_after_control_loop: 	3225793670 	T_diff: 	33794 	AngleAxisMust1: 	172.463 	AngleAxisMust0: 	176.101 	AngleWheelMust1: 	170.6 	AngleWheelMust0: 	174.326 	AngleAxisIs1: 	171.81 	AngleAxisIs0: 	176.58 	AngleWheelIs1: 	173.444 	AngleWheelIs0: 	170.176 	PositionError1: 	0.881302 	PositionError0: 	0.423843 	CurrentMust0: 	165 	CurrentIs0: 	146 	CurrentMust1: 	-428 	CurrentIs1: 	-447 	
ArmModuleId: 	1 	Time: 	3496090 	P0: 	120 	P1: 	120 	I0: 	0.4 	I1: 	0.4 	D0: 	10 	D1: 	10 	time_before_control_loop: 	3225828367 	time_after_control_loop: 	3225860591 	T_diff: 	32224 	AngleAxisMust1: 	199.32 	AngleAxisMust0: 	161.893 	AngleWheelMust1: 	190.668 	AngleWheelMust0: 	207.972 	AngleAxisIs1: 	205.02 	AngleAxisIs0: 	174.6 	AngleWheelIs1: 	207.6 	AngleWheelIs0: 	202.44 	PositionError1: 	0.371979 	PositionError0: 	-11.7718 	CurrentMust0: 	-1607 	CurrentIs0: 	-1847 	CurrentMust1: 	-190 	CurrentIs1: 	-190 	
ArmModuleId: 	0 	Time: 	3587101 	P0: 	200 	P1: 	200 	I0: 	0.6 	I1: 	0.6 	D0: 	18 	D1: 	18 	time_before_control_loop: 	3225919325 	time_after_control_loop: 	3225948378 	T_diff: 	29053 	AngleAxisMust1: 	172.502 	AngleAxisMust0: 	176.122 	AngleWheelMust1: 	170.649 	AngleWheelMust0: 	174.355 	AngleAxisIs1: 	171.81 	AngleAxisIs0: 	176.85 	AngleWheelIs1: 	173.315 	AngleWheelIs0: 	170.305 	PositionError1: 	1.03989 	PositionError0: 	0.343842 	CurrentMust0: 	186 	CurrentIs0: 	183 	CurrentMust1: 	-552 	CurrentIs1: 	-551 	
