ArmModuleId: 	0 	Time: 	2623374 	P0: 	200 	P1: 	250 	I0: 	0 	I1: 	0 	D0: 	0 	D1: 	0 	time_before_control_loop: 	3397731566 	time_after_control_loop: 	3397807370 	T_diff: 	75804 	AngleAxisMust1: 	114.03 	AngleAxisMust0: 	186.66 	AngleWheelMust1: 	117.212 	AngleWheelMust0: 	110.848 	AngleAxisIs1: 	114.03 	AngleAxisIs0: 	186.57 	AngleWheelIs1: 	110.891 	AngleWheelIs0: 	117.169 	PositionError1: 	-0.0351257 	PositionError0: 	0.0501785 	CurrentMust0: 	10 	CurrentIs0: 	17 	CurrentMust1: 	8 	CurrentIs1: 	25 	
ArmModuleId: 	1 	Time: 	2725420 	P0: 	120 	P1: 	100 	I0: 	0 	I1: 	0 	D0: 	0 	D1: 	0 	time_before_control_loop: 	3397833655 	time_after_control_loop: 	3397900203 	T_diff: 	66548 	AngleAxisMust1: 	140.31 	AngleAxisMust0: 	124.29 	AngleWheelMust1: 	113.69 	AngleWheelMust0: 	166.93 	AngleAxisIs1: 	140.22 	AngleAxisIs0: 	124.29 	AngleWheelIs1: 	166.84 	AngleWheelIs0: 	113.6 	PositionError1: 	0.0914307 	PositionError0: 	0.0972977 	CurrentMust0: 	11 	CurrentIs0: 	11 	CurrentMust1: 	-9 	CurrentIs1: 	-10 	
ArmModuleId: 	0 	Time: 	2845153 	P0: 	200 	P1: 	250 	I0: 	0 	I1: 	0 	D0: 	0 	D1: 	0 	time_before_control_loop: 	3397953343 	time_after_control_loop: 	3397980466 	T_diff: 	27123 	AngleAxisMust1: 	115.508 	AngleAxisMust0: 	186.511 	AngleWheelMust1: 	118.619 	AngleWheelMust0: 	112.396 	AngleAxisIs1: 	113.94 	AngleAxisIs0: 	187.47 	AngleWheelIs1: 	110.371 	AngleWheelIs0: 	117.509 	PositionError1: 	2.02377 	PositionError0: 	1.10736 	CurrentMust0: 	221 	CurrentIs0: 	209 	CurrentMust1: 	-505 	CurrentIs1: 	-521 	
ArmModuleId: 	1 	Time: 	2898323 	P0: 	120 	P1: 	100 	I0: 	0 	I1: 	0 	D0: 	0 	D1: 	0 	time_before_control_loop: 	3398006525 	time_after_control_loop: 	3398033761 	T_diff: 	27236 	AngleAxisMust1: 	141.199 	AngleAxisMust0: 	125.538 	AngleWheelMust1: 	115.175 	AngleWheelMust0: 	167.223 	AngleAxisIs1: 	139.05 	AngleAxisIs0: 	123.12 	AngleWheelIs1: 	166.229 	AngleWheelIs0: 	111.871 	PositionError1: 	0.993164 	PositionError0: 	3.30169 	CurrentMust0: 	396 	CurrentIs0: 	416 	CurrentMust1: 	-99 	CurrentIs1: 	-94 	
ArmModuleId: 	0 	Time: 	2991179 	P0: 	200 	P1: 	250 	I0: 	0 	I1: 	0 	D0: 	0 	D1: 	0 	time_before_control_loop: 	3398099407 	time_after_control_loop: 	3398128014 	T_diff: 	28607 	AngleAxisMust1: 	115.723 	AngleAxisMust0: 	186.489 	AngleWheelMust1: 	118.824 	AngleWheelMust0: 	112.622 	AngleAxisIs1: 	113.94 	AngleAxisIs0: 	187.47 	AngleWheelIs1: 	110.371 	AngleWheelIs0: 	117.509 	PositionError1: 	2.2513 	PositionError0: 	1.3139 	CurrentMust0: 	262 	CurrentIs0: 	261 	CurrentMust1: 	-562 	CurrentIs1: 	-543 	
ArmModuleId: 	1 	Time: 	3045781 	P0: 	120 	P1: 	100 	I0: 	0 	I1: 	0 	D0: 	0 	D1: 	0 	time_before_control_loop: 	3398153997 	time_after_control_loop: 	3398186088 	T_diff: 	32091 	AngleAxisMust1: 	141.329 	AngleAxisMust0: 	125.72 	AngleWheelMust1: 	115.392 	AngleWheelMust0: 	167.265 	AngleAxisIs1: 	140.04 	AngleAxisIs0: 	123.93 	AngleWheelIs1: 	166.832 	AngleWheelIs0: 	113.248 	PositionError1: 	0.433319 	PositionError0: 	2.14336 	CurrentMust0: 	257 	CurrentIs0: 	462 	CurrentMust1: 	-43 	CurrentIs1: 	-15 	
ArmModuleId: 	0 	Time: 	3136365 	P0: 	200 	P1: 	250 	I0: 	0 	I1: 	0 	D0: 	0 	D1: 	0 	time_before_control_loop: 	3398244551 	time_after_control_loop: 	3398277925 	T_diff: 	33374 	AngleAxisMust1: 	115.957 	AngleAxisMust0: 	186.465 	AngleWheelMust1: 	119.047 	AngleWheelMust0: 	112.868 	AngleAxisIs1: 	113.94 	AngleAxisIs0: 	187.47 	AngleWheelIs1: 	110.371 	AngleWheelIs0: 	117.509 	PositionError1: 	2.49684 	PositionError0: 	1.53684 	CurrentMust0: 	307 	CurrentIs0: 	313 	CurrentMust1: 	-624 	CurrentIs1: 	-602 	
ArmModuleId: 	1 	Time: 	3195705 	P0: 	120 	P1: 	100 	I0: 	0 	I1: 	0 	D0: 	0 	D1: 	0 	time_before_control_loop: 	3398303920 	time_after_control_loop: 	3398331380 	T_diff: 	27460 	AngleAxisMust1: 	141.47 	AngleAxisMust0: 	125.918 	AngleWheelMust1: 	115.627 	AngleWheelMust0: 	167.312 	AngleAxisIs1: 	142.02 	AngleAxisIs0: 	128.16 	AngleWheelIs1: 	166.791 	AngleWheelIs0: 	117.249 	PositionError1: 	0.520966 	PositionError0: 	-1.62244 	CurrentMust0: 	-194 	CurrentIs0: 	-230 	CurrentMust1: 	-52 	CurrentIs1: 	-82 	
ArmModuleId: 	0 	Time: 	3279794 	P0: 	200 	P1: 	250 	I0: 	0 	I1: 	0 	D0: 	0 	D1: 	0 	time_before_control_loop: 	3398387985 	time_after_control_loop: 	3398415440 	T_diff: 	27455 	AngleAxisMust1: 	116.221 	AngleAxisMust0: 	186.439 	AngleWheelMust1: 	119.297 	AngleWheelMust0: 	113.144 	AngleAxisIs1: 	114.03 	AngleAxisIs0: 	187.56 	AngleWheelIs1: 	110.418 	AngleWheelIs0: 	117.642 	PositionError1: 	2.72589 	PositionError0: 	1.6545 	CurrentMust0: 	330 	CurrentIs0: 	335 	CurrentMust1: 	-681 	CurrentIs1: 	-669 	
ArmModuleId: 	1 	Time: 	3334966 	P0: 	120 	P1: 	100 	I0: 	0 	I1: 	0 	D0: 	0 	D1: 	0 	time_before_control_loop: 	3398443195 	time_after_control_loop: 	3398470256 	T_diff: 	27061 	AngleAxisMust1: 	141.628 	AngleAxisMust0: 	126.14 	AngleWheelMust1: 	115.892 	AngleWheelMust0: 	167.364 	AngleAxisIs1: 	142.47 	AngleAxisIs0: 	129.6 	AngleWheelIs1: 	166.553 	AngleWheelIs0: 	118.387 	PositionError1: 	0.811218 	PositionError0: 	-2.49583 	CurrentMust0: 	-299 	CurrentIs0: 	-313 	CurrentMust1: 	-81 	CurrentIs1: 	-61 	
ArmModuleId: 	0 	Time: 	3419929 	P0: 	200 	P1: 	250 	I0: 	0 	I1: 	0 	D0: 	0 	D1: 	0 	time_before_control_loop: 	3398528115 	time_after_control_loop: 	3398555173 	T_diff: 	27058 	AngleAxisMust1: 	116.479 	AngleAxisMust0: 	186.413 	AngleWheelMust1: 	119.543 	AngleWheelMust0: 	113.415 	AngleAxisIs1: 	113.94 	AngleAxisIs0: 	187.47 	AngleWheelIs1: 	110.371 	AngleWheelIs0: 	117.509 	PositionError1: 	3.04387 	PositionError0: 	2.03353 	CurrentMust0: 	406 	CurrentIs0: 	394 	CurrentMust1: 	-760 	CurrentIs1: 	-772 	
