ArmModuleId: 	0 	Time: 	2693248 	P0: 	150 	P1: 	150 	I0: 	0.5 	I1: 	0.5 	D0: 	10 	D1: 	10 	time_before_control_loop: 	3650965152 	time_after_control_loop: 	3651040569 	T_diff: 	75417 	AngleAxisMust1: 	229.59 	AngleAxisMust0: 	229.59 	AngleWheelMust1: 	253.286 	AngleWheelMust0: 	205.894 	AngleAxisIs1: 	229.59 	AngleAxisIs0: 	229.68 	AngleWheelIs1: 	205.851 	AngleWheelIs0: 	253.329 	PositionError1: 	0.0401154 	PositionError0: 	-0.0511627 	CurrentMust0: 	-42 	CurrentIs0: 	-42 	CurrentMust1: 	-33 	CurrentIs1: 	-60 	
ArmModuleId: 	1 	Time: 	2799424 	P0: 	80 	P1: 	80 	I0: 	0.1 	I1: 	0.1 	D0: 	2 	D1: 	2 	time_before_control_loop: 	3651071382 	time_after_control_loop: 	3651151328 	T_diff: 	79946 	AngleAxisMust1: 	215.73 	AngleAxisMust0: 	258.75 	AngleWheelMust1: 	253.359 	AngleWheelMust0: 	178.101 	AngleAxisIs1: 	215.82 	AngleAxisIs0: 	258.75 	AngleWheelIs1: 	178.191 	AngleWheelIs0: 	253.449 	PositionError1: 	-0.0898132 	PositionError0: 	-0.0978699 	CurrentMust0: 	-21 	CurrentIs0: 	-19 	CurrentMust1: 	19 	CurrentIs1: 	26 	
ArmModuleId: 	0 	Time: 	2936346 	P0: 	150 	P1: 	150 	I0: 	0.5 	I1: 	0.5 	D0: 	10 	D1: 	10 	time_before_control_loop: 	3651208252 	time_after_control_loop: 	3651237604 	T_diff: 	29352 	AngleAxisMust1: 	228.382 	AngleAxisMust0: 	228.382 	AngleWheelMust1: 	251.5 	AngleWheelMust0: 	205.263 	AngleAxisIs1: 	229.41 	AngleAxisIs0: 	230.4 	AngleWheelIs1: 	205.327 	AngleWheelIs0: 	253.493 	PositionError1: 	-0.0631714 	PositionError0: 	-1.99065 	CurrentMust0: 	-457 	CurrentIs0: 	-467 	CurrentMust1: 	-16 	CurrentIs1: 	-10 	
ArmModuleId: 	1 	Time: 	2999165 	P0: 	80 	P1: 	80 	I0: 	0.1 	I1: 	0.1 	D0: 	2 	D1: 	2 	time_before_control_loop: 	3651271112 	time_after_control_loop: 	3651321757 	T_diff: 	50645 	AngleAxisMust1: 	214.859 	AngleAxisMust0: 	256.831 	AngleWheelMust1: 	251.572 	AngleWheelMust0: 	178.147 	AngleAxisIs1: 	214.65 	AngleAxisIs0: 	257.58 	AngleWheelIs1: 	177.58 	AngleWheelIs0: 	251.72 	PositionError1: 	0.567139 	PositionError0: 	-0.145844 	CurrentMust0: 	-27 	CurrentIs0: 	-41 	CurrentMust1: 	-37 	CurrentIs1: 	-75 	
ArmModuleId: 	0 	Time: 	3112079 	P0: 	150 	P1: 	150 	I0: 	0.5 	I1: 	0.5 	D0: 	10 	D1: 	10 	time_before_control_loop: 	3651383980 	time_after_control_loop: 	3651420289 	T_diff: 	36309 	AngleAxisMust1: 	228.17 	AngleAxisMust0: 	228.17 	AngleWheelMust1: 	251.188 	AngleWheelMust0: 	205.153 	AngleAxisIs1: 	229.5 	AngleAxisIs0: 	230.58 	AngleWheelIs1: 	205.331 	AngleWheelIs0: 	253.669 	PositionError1: 	-0.178101 	PositionError0: 	-2.48061 	CurrentMust0: 	-727 	CurrentIs0: 	-725 	CurrentMust1: 	11 	CurrentIs1: 	12 	
ArmModuleId: 	1 	Time: 	3177075 	P0: 	80 	P1: 	80 	I0: 	0.1 	I1: 	0.1 	D0: 	2 	D1: 	2 	time_before_control_loop: 	3651448977 	time_after_control_loop: 	3651476927 	T_diff: 	27950 	AngleAxisMust1: 	214.707 	AngleAxisMust0: 	256.495 	AngleWheelMust1: 	251.259 	AngleWheelMust0: 	178.155 	AngleAxisIs1: 	214.65 	AngleAxisIs0: 	257.58 	AngleWheelIs1: 	177.58 	AngleWheelIs0: 	251.72 	PositionError1: 	0.575287 	PositionError0: 	-0.460602 	CurrentMust0: 	-58 	CurrentIs0: 	-70 	CurrentMust1: 	-48 	CurrentIs1: 	-21 	
ArmModuleId: 	0 	Time: 	3256595 	P0: 	150 	P1: 	150 	I0: 	0.5 	I1: 	0.5 	D0: 	10 	D1: 	10 	time_before_control_loop: 	3651528475 	time_after_control_loop: 	3651555565 	T_diff: 	27090 	AngleAxisMust1: 	227.973 	AngleAxisMust0: 	227.973 	AngleWheelMust1: 	250.896 	AngleWheelMust0: 	205.05 	AngleAxisIs1: 	229.59 	AngleAxisIs0: 	230.49 	AngleWheelIs1: 	205.464 	AngleWheelIs0: 	253.716 	PositionError1: 	-0.414185 	PositionError0: 	-2.81937 	CurrentMust0: 	77 	CurrentIs0: 	64 	CurrentMust1: 	68 	CurrentIs1: 	27 	
ArmModuleId: 	1 	Time: 	3308879 	P0: 	80 	P1: 	80 	I0: 	0.1 	I1: 	0.1 	D0: 	2 	D1: 	2 	time_before_control_loop: 	3651580785 	time_after_control_loop: 	3651611702 	T_diff: 	30917 	AngleAxisMust1: 	214.565 	AngleAxisMust0: 	256.182 	AngleWheelMust1: 	250.967 	AngleWheelMust0: 	178.163 	AngleAxisIs1: 	214.74 	AngleAxisIs0: 	257.58 	AngleWheelIs1: 	177.67 	AngleWheelIs0: 	251.81 	PositionError1: 	0.492844 	PositionError0: 	-0.84259 	CurrentMust0: 	-97 	CurrentIs0: 	-92 	CurrentMust1: 	-48 	CurrentIs1: 	-82 	
ArmModuleId: 	0 	Time: 	3394812 	P0: 	150 	P1: 	150 	I0: 	0.5 	I1: 	0.5 	D0: 	10 	D1: 	10 	time_before_control_loop: 	3651666713 	time_after_control_loop: 	3651696663 	T_diff: 	29950 	AngleAxisMust1: 	227.779 	AngleAxisMust0: 	227.779 	AngleWheelMust1: 	250.609 	AngleWheelMust0: 	204.948 	AngleAxisIs1: 	229.41 	AngleAxisIs0: 	230.49 	AngleWheelIs1: 	205.284 	AngleWheelIs0: 	253.536 	PositionError1: 	-0.335617 	PositionError0: 	-2.92645 	CurrentMust0: 	-137 	CurrentIs0: 	-109 	CurrentMust1: 	82 	CurrentIs1: 	145 	
ArmModuleId: 	1 	Time: 	3454037 	P0: 	80 	P1: 	80 	I0: 	0.1 	I1: 	0.1 	D0: 	2 	D1: 	2 	time_before_control_loop: 	3651725959 	time_after_control_loop: 	3651765159 	T_diff: 	39200 	AngleAxisMust1: 	214.425 	AngleAxisMust0: 	255.873 	AngleWheelMust1: 	250.68 	AngleWheelMust0: 	178.17 	AngleAxisIs1: 	214.65 	AngleAxisIs0: 	257.58 	AngleWheelIs1: 	177.58 	AngleWheelIs0: 	251.72 	PositionError1: 	0.590286 	PositionError0: 	-1.04002 	CurrentMust0: 	-126 	CurrentIs0: 	-121 	CurrentMust1: 	-64 	CurrentIs1: 	-108 	
ArmModuleId: 	0 	Time: 	3562828 	P0: 	150 	P1: 	150 	I0: 	0.5 	I1: 	0.5 	D0: 	10 	D1: 	10 	time_before_control_loop: 	3651834731 	time_after_control_loop: 	3651864725 	T_diff: 	29994 	AngleAxisMust1: 	227.54 	AngleAxisMust0: 	227.54 	AngleWheelMust1: 	250.256 	AngleWheelMust0: 	204.824 	AngleAxisIs1: 	229.5 	AngleAxisIs0: 	230.4 	AngleWheelIs1: 	205.417 	AngleWheelIs0: 	253.583 	PositionError1: 	-0.593399 	PositionError0: 	-3.32657 	CurrentMust0: 	-460 	CurrentIs0: 	-452 	CurrentMust1: 	160 	CurrentIs1: 	186 	
