ArmModuleId: 	0 	Time: 	2605077 	P0: 	200 	P1: 	250 	I0: 	0 	I1: 	0 	D0: 	0 	D1: 	0 	time_before_control_loop: 	2913422203 	time_after_control_loop: 	2913490994 	T_diff: 	68791 	AngleAxisMust1: 	148.59 	AngleAxisMust0: 	189 	AngleWheelMust1: 	152.89 	AngleWheelMust0: 	144.29 	AngleAxisIs1: 	148.77 	AngleAxisIs0: 	189.09 	AngleWheelIs1: 	144.427 	AngleWheelIs0: 	153.113 	PositionError1: 	-0.132904 	PositionError0: 	-0.219879 	CurrentMust0: 	-43 	CurrentIs0: 	-76 	CurrentMust1: 	33 	CurrentIs1: 	38 	
ArmModuleId: 	1 	Time: 	2704884 	P0: 	100 	P1: 	100 	I0: 	0 	I1: 	0 	D0: 	0 	D1: 	0 	time_before_control_loop: 	2913522033 	time_after_control_loop: 	2913588626 	T_diff: 	66593 	AngleAxisMust1: 	228.51 	AngleAxisMust0: 	249.39 	AngleWheelMust1: 	261.667 	AngleWheelMust0: 	195.353 	AngleAxisIs1: 	228.51 	AngleAxisIs0: 	249.48 	AngleWheelIs1: 	195.31 	AngleWheelIs0: 	261.71 	PositionError1: 	0.0413055 	PositionError0: 	-0.0520935 	CurrentMust0: 	-5 	CurrentIs0: 	-2 	CurrentMust1: 	-4 	CurrentIs1: 	1 	
ArmModuleId: 	0 	Time: 	2830848 	P0: 	200 	P1: 	250 	I0: 	0 	I1: 	0 	D0: 	0 	D1: 	0 	time_before_control_loop: 	2913647972 	time_after_control_loop: 	2913679218 	T_diff: 	31246 	AngleAxisMust1: 	150.385 	AngleAxisMust0: 	189.904 	AngleWheelMust1: 	155.117 	AngleWheelMust0: 	145.652 	AngleAxisIs1: 	148.77 	AngleAxisIs0: 	189.9 	AngleWheelIs1: 	144.039 	AngleWheelIs0: 	153.501 	PositionError1: 	1.61095 	PositionError0: 	1.61337 	CurrentMust0: 	322 	CurrentIs0: 	344 	CurrentMust1: 	-402 	CurrentIs1: 	-390 	
ArmModuleId: 	1 	Time: 	2893289 	P0: 	100 	P1: 	100 	I0: 	0 	I1: 	0 	D0: 	0 	D1: 	0 	time_before_control_loop: 	2913710467 	time_after_control_loop: 	2913741049 	T_diff: 	30582 	AngleAxisMust1: 	228.543 	AngleAxisMust0: 	248.963 	AngleWheelMust1: 	261.495 	AngleWheelMust0: 	195.59 	AngleAxisIs1: 	227.34 	AngleAxisIs0: 	248.31 	AngleWheelIs1: 	194.699 	AngleWheelIs0: 	259.981 	PositionError1: 	0.890625 	PositionError0: 	1.51489 	CurrentMust0: 	151 	CurrentIs0: 	151 	CurrentMust1: 	-89 	CurrentIs1: 	-90 	
ArmModuleId: 	0 	Time: 	2977727 	P0: 	200 	P1: 	250 	I0: 	0 	I1: 	0 	D0: 	0 	D1: 	0 	time_before_control_loop: 	2913794893 	time_after_control_loop: 	2913829513 	T_diff: 	34620 	AngleAxisMust1: 	150.659 	AngleAxisMust0: 	190.042 	AngleWheelMust1: 	155.458 	AngleWheelMust0: 	145.861 	AngleAxisIs1: 	148.59 	AngleAxisIs0: 	189.9 	AngleWheelIs1: 	143.859 	AngleWheelIs0: 	153.321 	PositionError1: 	2.0009 	PositionError0: 	2.13647 	CurrentMust0: 	427 	CurrentIs0: 	418 	CurrentMust1: 	-500 	CurrentIs1: 	-508 	
ArmModuleId: 	1 	Time: 	3038710 	P0: 	100 	P1: 	100 	I0: 	0 	I1: 	0 	D0: 	0 	D1: 	0 	time_before_control_loop: 	2913855847 	time_after_control_loop: 	2913882704 	T_diff: 	26857 	AngleAxisMust1: 	228.548 	AngleAxisMust0: 	248.897 	AngleWheelMust1: 	261.469 	AngleWheelMust0: 	195.627 	AngleAxisIs1: 	227.34 	AngleAxisIs0: 	248.13 	AngleWheelIs1: 	194.785 	AngleWheelIs0: 	259.895 	PositionError1: 	0.841232 	PositionError0: 	1.57452 	CurrentMust0: 	157 	CurrentIs0: 	144 	CurrentMust1: 	-84 	CurrentIs1: 	-88 	
ArmModuleId: 	0 	Time: 	3118588 	P0: 	200 	P1: 	250 	I0: 	0 	I1: 	0 	D0: 	0 	D1: 	0 	time_before_control_loop: 	2913935717 	time_after_control_loop: 	2913962883 	T_diff: 	27166 	AngleAxisMust1: 	150.943 	AngleAxisMust0: 	190.185 	AngleWheelMust1: 	155.81 	AngleWheelMust0: 	146.076 	AngleAxisIs1: 	148.68 	AngleAxisIs0: 	189.72 	AngleWheelIs1: 	144.035 	AngleWheelIs0: 	153.325 	PositionError1: 	2.04027 	PositionError0: 	2.48434 	CurrentMust0: 	496 	CurrentIs0: 	507 	CurrentMust1: 	-510 	CurrentIs1: 	-508 	
ArmModuleId: 	1 	Time: 	3172177 	P0: 	100 	P1: 	100 	I0: 	0 	I1: 	0 	D0: 	0 	D1: 	0 	time_before_control_loop: 	2913989314 	time_after_control_loop: 	2914015997 	T_diff: 	26683 	AngleAxisMust1: 	228.553 	AngleAxisMust0: 	248.83 	AngleWheelMust1: 	261.442 	AngleWheelMust0: 	195.664 	AngleAxisIs1: 	227.34 	AngleAxisIs0: 	248.22 	AngleWheelIs1: 	194.742 	AngleWheelIs0: 	259.938 	PositionError1: 	0.921677 	PositionError0: 	1.50439 	CurrentMust0: 	150 	CurrentIs0: 	144 	CurrentMust1: 	-92 	CurrentIs1: 	-61 	
ArmModuleId: 	0 	Time: 	3252269 	P0: 	200 	P1: 	250 	I0: 	0 	I1: 	0 	D0: 	0 	D1: 	0 	time_before_control_loop: 	2914069390 	time_after_control_loop: 	2914096579 	T_diff: 	27189 	AngleAxisMust1: 	151.232 	AngleAxisMust0: 	190.331 	AngleWheelMust1: 	156.169 	AngleWheelMust0: 	146.296 	AngleAxisIs1: 	148.77 	AngleAxisIs0: 	189.9 	AngleWheelIs1: 	144.039 	AngleWheelIs0: 	153.501 	PositionError1: 	2.25606 	PositionError0: 	2.66739 	CurrentMust0: 	533 	CurrentIs0: 	536 	CurrentMust1: 	-564 	CurrentIs1: 	-545 	
ArmModuleId: 	1 	Time: 	3308791 	P0: 	100 	P1: 	100 	I0: 	0 	I1: 	0 	D0: 	0 	D1: 	0 	time_before_control_loop: 	2914125945 	time_after_control_loop: 	2914152915 	T_diff: 	26970 	AngleAxisMust1: 	228.558 	AngleAxisMust0: 	248.761 	AngleWheelMust1: 	261.414 	AngleWheelMust0: 	195.702 	AngleAxisIs1: 	227.34 	AngleAxisIs0: 	248.13 	AngleWheelIs1: 	194.785 	AngleWheelIs0: 	259.895 	PositionError1: 	0.916931 	PositionError0: 	1.51978 	CurrentMust0: 	151 	CurrentIs0: 	144 	CurrentMust1: 	-91 	CurrentIs1: 	-95 	
ArmModuleId: 	0 	Time: 	3389143 	P0: 	200 	P1: 	250 	I0: 	0 	I1: 	0 	D0: 	0 	D1: 	0 	time_before_control_loop: 	2914206267 	time_after_control_loop: 	2914238429 	T_diff: 	32162 	AngleAxisMust1: 	151.548 	AngleAxisMust0: 	190.49 	AngleWheelMust1: 	156.56 	AngleWheelMust0: 	146.536 	AngleAxisIs1: 	148.68 	AngleAxisIs0: 	190.08 	AngleWheelIs1: 	143.863 	AngleWheelIs0: 	153.497 	PositionError1: 	2.67175 	PositionError0: 	3.06299 	CurrentMust0: 	612 	CurrentIs0: 	603 	CurrentMust1: 	-667 	CurrentIs1: 	-685 	
