ArmModuleId: 	0 	Time: 	2607086 	P0: 	120 	P1: 	130 	I0: 	1 	I1: 	1 	D0: 	0 	D1: 	0 	time_before_control_loop: 	974386447 	time_after_control_loop: 	974457879 	T_diff: 	71432 	AngleAxisMust1: 	114.21 	AngleAxisMust0: 	189.81 	AngleWheelMust1: 	118.898 	AngleWheelMust0: 	109.522 	AngleAxisIs1: 	114.12 	AngleAxisIs0: 	189.9 	AngleWheelIs1: 	109.389 	AngleWheelIs0: 	118.851 	PositionError1: 	0.141083 	PositionError0: 	0.0540314 	CurrentMust0: 	76 	CurrentIs0: 	32 	CurrentMust1: 	-202 	CurrentIs1: 	-195 	
ArmModuleId: 	1 	Time: 	2708109 	P0: 	90 	P1: 	90 	I0: 	1 	I1: 	1 	D0: 	0 	D1: 	0 	time_before_control_loop: 	974487495 	time_after_control_loop: 	974554207 	T_diff: 	66712 	AngleAxisMust1: 	169.56 	AngleAxisMust0: 	156.6 	AngleWheelMust1: 	158.379 	AngleWheelMust0: 	180.741 	AngleAxisIs1: 	169.65 	AngleAxisIs0: 	156.51 	AngleWheelIs1: 	180.874 	AngleWheelIs0: 	158.426 	PositionError1: 	-0.133087 	PositionError0: 	-0.0445862 	CurrentMust0: 	-64 	CurrentIs0: 	-70 	CurrentMust1: 	192 	CurrentIs1: 	186 	
ArmModuleId: 	0 	Time: 	2828798 	P0: 	120 	P1: 	130 	I0: 	1 	I1: 	1 	D0: 	0 	D1: 	0 	time_before_control_loop: 	974608153 	time_after_control_loop: 	974635002 	T_diff: 	26849 	AngleAxisMust1: 	115.659 	AngleAxisMust0: 	189.594 	AngleWheelMust1: 	120.243 	AngleWheelMust0: 	111.075 	AngleAxisIs1: 	114.03 	AngleAxisIs0: 	190.71 	AngleWheelIs1: 	108.912 	AngleWheelIs0: 	119.148 	PositionError1: 	2.16022 	PositionError0: 	1.09389 	CurrentMust0: 	328 	CurrentIs0: 	327 	CurrentMust1: 	-720 	CurrentIs1: 	-725 	
ArmModuleId: 	1 	Time: 	2886697 	P0: 	90 	P1: 	90 	I0: 	1 	I1: 	1 	D0: 	0 	D1: 	0 	time_before_control_loop: 	974666101 	time_after_control_loop: 	974693339 	T_diff: 	27238 	AngleAxisMust1: 	169.79 	AngleAxisMust0: 	157.115 	AngleWheelMust1: 	158.855 	AngleWheelMust0: 	180.725 	AngleAxisIs1: 	168.21 	AngleAxisIs0: 	155.43 	AngleWheelIs1: 	179.95 	AngleWheelIs0: 	156.47 	PositionError1: 	0.774628 	PositionError0: 	2.38446 	CurrentMust0: 	363 	CurrentIs0: 	357 	CurrentMust1: 	53 	CurrentIs1: 	59 	
ArmModuleId: 	0 	Time: 	2967997 	P0: 	120 	P1: 	130 	I0: 	1 	I1: 	1 	D0: 	0 	D1: 	0 	time_before_control_loop: 	974747397 	time_after_control_loop: 	974778515 	T_diff: 	31118 	AngleAxisMust1: 	115.867 	AngleAxisMust0: 	189.563 	AngleWheelMust1: 	120.437 	AngleWheelMust0: 	111.298 	AngleAxisIs1: 	114.03 	AngleAxisIs0: 	190.71 	AngleWheelIs1: 	108.912 	AngleWheelIs0: 	119.148 	PositionError1: 	2.38496 	PositionError0: 	1.28875 	CurrentMust0: 	518 	CurrentIs0: 	537 	CurrentMust1: 	-1065 	CurrentIs1: 	-1064 	
ArmModuleId: 	1 	Time: 	3030370 	P0: 	90 	P1: 	90 	I0: 	1 	I1: 	1 	D0: 	0 	D1: 	0 	time_before_control_loop: 	974809760 	time_after_control_loop: 	974836620 	T_diff: 	26860 	AngleAxisMust1: 	169.823 	AngleAxisMust0: 	157.189 	AngleWheelMust1: 	158.923 	AngleWheelMust0: 	180.723 	AngleAxisIs1: 	168.93 	AngleAxisIs0: 	155.88 	AngleWheelIs1: 	180.455 	AngleWheelIs0: 	157.405 	PositionError1: 	0.267288 	PositionError0: 	1.51855 	CurrentMust0: 	565 	CurrentIs0: 	430 	CurrentMust1: 	24 	CurrentIs1: 	26 	
ArmModuleId: 	0 	Time: 	3110692 	P0: 	120 	P1: 	130 	I0: 	1 	I1: 	1 	D0: 	0 	D1: 	0 	time_before_control_loop: 	974890052 	time_after_control_loop: 	974920237 	T_diff: 	30185 	AngleAxisMust1: 	116.098 	AngleAxisMust0: 	189.529 	AngleWheelMust1: 	120.651 	AngleWheelMust0: 	111.545 	AngleAxisIs1: 	113.94 	AngleAxisIs0: 	190.53 	AngleWheelIs1: 	108.908 	AngleWheelIs0: 	118.972 	PositionError1: 	2.63588 	PositionError0: 	1.67886 	CurrentMust0: 	776 	CurrentIs0: 	765 	CurrentMust1: 	-1342 	CurrentIs1: 	-1333 	
ArmModuleId: 	1 	Time: 	3171760 	P0: 	90 	P1: 	90 	I0: 	1 	I1: 	1 	D0: 	0 	D1: 	0 	time_before_control_loop: 	974951142 	time_after_control_loop: 	974978063 	T_diff: 	26921 	AngleAxisMust1: 	169.86 	AngleAxisMust0: 	157.271 	AngleWheelMust1: 	158.999 	AngleWheelMust0: 	180.72 	AngleAxisIs1: 	170.82 	AngleAxisIs0: 	158.76 	AngleWheelIs1: 	180.969 	AngleWheelIs0: 	160.671 	PositionError1: 	-0.249176 	PositionError0: 	-1.67186 	CurrentMust0: 	267 	CurrentIs0: 	281 	CurrentMust1: 	69 	CurrentIs1: 	92 	
ArmModuleId: 	0 	Time: 	3260546 	P0: 	120 	P1: 	130 	I0: 	1 	I1: 	1 	D0: 	0 	D1: 	0 	time_before_control_loop: 	975039908 	time_after_control_loop: 	975066725 	T_diff: 	26817 	AngleAxisMust1: 	116.346 	AngleAxisMust0: 	189.492 	AngleWheelMust1: 	120.881 	AngleWheelMust0: 	111.81 	AngleAxisIs1: 	114.03 	AngleAxisIs0: 	190.8 	AngleWheelIs1: 	108.869 	AngleWheelIs0: 	119.191 	PositionError1: 	2.94043 	PositionError0: 	1.69005 	CurrentMust0: 	1030 	CurrentIs0: 	1016 	CurrentMust1: 	-1382 	CurrentIs1: 	-1377 	
ArmModuleId: 	1 	Time: 	3314753 	P0: 	90 	P1: 	90 	I0: 	1 	I1: 	1 	D0: 	0 	D1: 	0 	time_before_control_loop: 	975094135 	time_after_control_loop: 	975122090 	T_diff: 	27955 	AngleAxisMust1: 	169.899 	AngleAxisMust0: 	157.36 	AngleWheelMust1: 	159.081 	AngleWheelMust0: 	180.717 	AngleAxisIs1: 	174.87 	AngleAxisIs0: 	167.85 	AngleWheelIs1: 	180.676 	AngleWheelIs0: 	169.064 	PositionError1: 	0.0415497 	PositionError0: 	-9.98389 	CurrentMust0: 	-1313 	CurrentIs0: 	-1710 	CurrentMust1: 	58 	CurrentIs1: 	32 	
ArmModuleId: 	0 	Time: 	3400000 	P0: 	120 	P1: 	130 	I0: 	1 	I1: 	1 	D0: 	0 	D1: 	0 	time_before_control_loop: 	975179357 	time_after_control_loop: 	975207406 	T_diff: 	28049 	AngleAxisMust1: 	116.614 	AngleAxisMust0: 	189.451 	AngleWheelMust1: 	121.13 	AngleWheelMust0: 	112.098 	AngleAxisIs1: 	114.12 	AngleAxisIs0: 	190.53 	AngleWheelIs1: 	109.088 	AngleWheelIs0: 	119.152 	PositionError1: 	3.00898 	PositionError0: 	1.97836 	CurrentMust0: 	1237 	CurrentIs0: 	1222 	CurrentMust1: 	-1391 	CurrentIs1: 	-1377 	
ArmModuleId: 	1 	Time: 	3458281 	P0: 	90 	P1: 	90 	I0: 	1 	I1: 	1 	D0: 	0 	D1: 	0 	time_before_control_loop: 	975237663 	time_after_control_loop: 	975264379 	T_diff: 	26716 	AngleAxisMust1: 	169.942 	AngleAxisMust0: 	157.455 	AngleWheelMust1: 	159.169 	AngleWheelMust0: 	180.714 	AngleAxisIs1: 	171.63 	AngleAxisIs0: 	159.66 	AngleWheelIs1: 	181.349 	AngleWheelIs0: 	161.911 	PositionError1: 	-0.634933 	PositionError0: 	-2.74223 	CurrentMust0: 	753 	CurrentIs0: 	1373 	CurrentMust1: 	161 	CurrentIs1: 	179 	
ArmModuleId: 	0 	Time: 	3537705 	P0: 	120 	P1: 	130 	I0: 	1 	I1: 	1 	D0: 	0 	D1: 	0 	time_before_control_loop: 	975317060 	time_after_control_loop: 	975346781 	T_diff: 	29721 	AngleAxisMust1: 	116.898 	AngleAxisMust0: 	189.409 	AngleWheelMust1: 	121.394 	AngleWheelMust0: 	112.402 	AngleAxisIs1: 	114.03 	AngleAxisIs0: 	190.8 	AngleWheelIs1: 	108.869 	AngleWheelIs0: 	119.191 	PositionError1: 	3.5321 	PositionError0: 	2.20301 	CurrentMust0: 	1264 	CurrentIs0: 	1281 	CurrentMust1: 	-1459 	CurrentIs1: 	-1458 	
